地区,日期,emotional
东北,1,0.6583511781209854
东北,2,0.711594868259697
东北,3,0.7305050042009187
东北,4,0.7261463371377783
东北,5,0.6738008899556762
东北,6,0.7038320563076084
东北,7,0.7692848137321037
东北,8,0.684354925037754
东北,9,0.7019235848119735
东北,10,0.7774049535476231
东北,11,0.7175951116600986
东北,12,0.7128897278629697
华东,1,0.6996299159864826
华东,2,0.7598990157975634
华东,3,0.7449790278802008
华东,4,0.7165703403336541
华东,5,0.6870305922893971
华东,6,0.5759560842982006
华东,7,0.794505610684749
华东,8,0.750508059166688
华东,9,0.6631719562365324
华东,10,0.677300836859159
华东,11,0.5875660732511249
华东,12,0.7785905980059838
华中,1,0.761405300093476
华中,2,0.6411116936200248
华中,3,0.5993646159485742
华中,4,0.7425098978739466
华中,5,0.6850017049890321
华中,6,0.7554657550869753
华中,7,0.7110850645998107
华中,8,0.5565018784705811
华中,9,0.7656013567201585
华中,10,0.8226739782543037
华中,11,0.6209318032546348
华中,12,0.7020807842701392
华北,1,0.6778091924642504
华北,2,0.7794068010009373
华北,3,0.7010344642558494
华北,4,0.7337083600190201
华北,5,0.5525618185422762
华北,6,0.8060016819478553
华北,7,0.7822399130052036
华北,8,0.6549686533187957
华北,9,0.7009953570441283
华北,10,0.612426460740286
华北,11,0.8040913890100193
华北,12,0.7095383617137535
华南,1,0.6715741882939568
华南,2,0.5887244244459141
华南,3,0.7852342197069881
华南,4,0.793592952199594
华南,5,0.6503682158466324
华南,6,0.6081430144924986
华南,7,0.7393548376730568
华南,8,0.7914245280739682
华南,9,0.7128418245470858
华南,10,0.6818893149888491
华南,11,0.5620874751230794
华南,12,0.7840568958736481
西北,1,0.785254417919655
西北,2,0.6856398880343691
西北,3,0.700775231864618
西北,4,0.5843426042315489
西北,5,0.7960532381378703
西北,6,0.767504963865143
西北,7,0.6775121938348664
西北,8,0.7448734429809182
西北,9,0.5391770674534921
西北,10,0.8278917545934823
西北,11,0.8041184143421352
西北,12,0.6825407632264898
西南,1,0.6952540607981572
西南,2,0.5866304357966182
西南,3,0.8259706697454017
西南,4,0.7860725077129438
西南,5,0.6484207747630778
西南,6,0.7144219863625882
西南,7,0.5810783329598764
西南,8,0.8368351523256737
西南,9,0.778423037817281
西南,10,0.6493343772155782
西南,11,0.7027417476328014
西南,12,0.5742474745731632
