wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4857921639556034,张新成StevenZhang工作室,7782851856,m,2023-01-14 21:17:17,本哥在节目录制期间，意外手臂受伤，已于第一时间送医治疗。现已无大碍，请大家不要担心～,10230,1866,985
4857939548964236,随便追追,1766035994,f,2023-01-14 22:28:27,吴彤又是你的节目…… 这节目这么激烈吗？ 张新成搞骨折了,8940,349,77
4857945743430678,经停在嘉禾望岗,6884549195,m,2023-01-14 22:53:04,张新成录制吴彤综艺《我们的客栈》的过程中意外受伤骨折，有传是和张杰掰手腕过程中，不过工作室回应称现在已经无大碍了 你是如何看待艺人正常工作受伤的？ #张新成 受伤#,1054,106,14
4857950306305928,追剧综的李二狗,2151481347,m,2023-01-14 23:11:12,#如何看待明星拍节目受伤# 看到张新成受伤就想起了高以翔，再联想到陈情令片厂失火丧命的工作人员。 真的不想再看到有任何人因为拍娱乐节目受伤了，不管是明星，还是普通人。 希望各大节目组、剧组都能尽最大可能保证所有人的生命安全。 希望大家都能平安健康。 #张新成 受伤#,570,59,35
4857943776039719,旅少,6644124078,m,2023-01-14 22:45:15,#张新成 受伤#心疼宝儿！好好的，下雨天就不能在室内吗？非要出去跑呀跳呀！嘉宾没有安全保障！节目组还不上点心啊！#张新成录制我们的客栈意外受伤# 旅少的微博视频,282,105,207
4857957008805006,虎牙兔小喵,5503807600,f,2023-01-14 23:37:50,#张新成 受伤# 没有想到会上热搜，打扰了各位路人朋友，先说声抱歉。首先，这个事原本艺人本身以及粉丝都是比较低调的，并没有想要这样大张旗鼓的宣告。其次，这并不只是掰手腕这么简单，就如大家知道的单纯正常的掰手腕不至于会出太严重的问题，因为节目组（吴彤）总喜欢为了节目效果加上一些自认为很棒的想法，所以才导致了伤情的产生，具体等节目播出可以观看。最后，艺人本身是一个很坚强的人，认真拍戏的过程中也不是第一次受伤，从未如此宣扬，且艺人本身常年锻炼，身体还是比较健康的。粉丝此次只是希望蓝台和吴彤可以给个交代，并不想打扰大众，蓝台总是如此行事，下次别的艺人依然会遇到这样的情况。希望能认真解决不要敷衍，能够用心对待艺人，而不是只想着靠艺人上热搜来换取热度。@浙江卫视我们的客栈 @吴彤,1,0,0
4857956997535347,小呀么小张,7657970101,f,2023-01-14 23:37:47,#张新成 受伤#本来一直期待本哥的综艺，看了第一期笑了笑确实觉得还可以，但是梧桐你后边在干什么和客栈沾边吗？接力做饭环节嘉宾说关火你不让说把菜盛出来你也不让，菜糊了这不纯纯浪费吗？搞得好像嘉宾不懂事没常识嘉宾浪费一样……你看看你简介写的有机农场，这样一个慢综为什么会有掰手腕环节？慢综给嘉宾弄伤了……真的是彻底无语住了，长点心吧……,0,0,0
4857956984162686,灰灰杍,1349330913,f,2023-01-14 23:37:44,"#张新成 受伤#
什么体育竞技节目？蓝台和梧桐还能不能行了？游戏设置得无聊也就罢了，至少要嘉宾保证安全吧！",0,0,0
4857956979710748,芋泥啵啵超甜吖,7220692293,f,2023-01-14 23:37:43,"#张新成 受伤#
虽然但是......掰手腕真的能掰骨折的 我命定老公可以作证",0,0,0
4857956968170436,第六颗大白兔奶糖,7568507377,f,2023-01-14 23:37:40,#张新成 受伤#吴彤就是个垃圾货，怎么老是出事啊，就不能严加看管，多加点保护措施嘛,0,0,0
