wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4849163358181781,乌克兰信使,5235562548,m,2022-12-21 17:15:00,"我们比较一下乌克兰首都的圣诞树前三年和现在的样子。
10 多个月以来，俄罗斯一直在掠夺我们的国家——洗衣机、电视和其他电器，俄罗斯人甚至想要侵占我们的幸福。原来象征欢乐、惊喜和新年气氛的圣诞树，今年却显得朴实无华。树上装饰着黄色和蓝色的圆球，顶部插着乌克兰国徽，下部则挂着帮助基辅的国家的国旗。
但即便如此，乌克兰人还是会度过这个美好的节日。希望能够尽快得到援助，光明早日战胜黑暗。

#乌克兰# #乌克兰加油# #支持乌克兰# #乌克兰局势# #俄乌局势# #俄乌战争# #俄乌冲突# #俄罗斯侵略乌克兰# #俄罗斯# #正义必胜# #乌克兰必胜# #新年#",7253,1625,102
4852964664279623,今日俄罗斯RT,6244553417,m,2023-01-01 05:00:02,【#普京总统发表新年讲话#我们将共克时艰！保持我们国家的伟大和独立！】2022年12月31日，俄罗斯总统普京发表了新年讲话，本次讲话背景为俄罗斯武装部队军人而非克里姆林宫，讲话时长9分钟，是有史以来最长的一次。 #新年##俄罗斯##新年讲话##2023新征程# 今日俄罗斯RT的微博视频,1912,241,179
4852435422810615,凤凰李淼,1916468595,f,2022-12-30 17:57:01,元旦将至，2023年也将到来。2022年，日本发生了太多事，新冠疫情持续肆虐；日本队在世界杯的表现十分亮眼。对普通日本老百姓来说，2022年是怎样的一年呢？我们来到日本的街头，看看日本人选了什么汉字。想听听，你的年度汉字是什么？#新年##日本老百姓选了什么年度汉字# 凤凰李淼的微博视频,175,39,26
4857760426756559,调啡师,7463346216,m,2023-01-14 10:36:41,"家有猫猫，买年花时留意啊。真的会毒死猫猫的

#新年##猫##年花#",0,0,0
4857757159129493,T-alkaid,6120706507,f,2023-01-14 10:23:41,"岁末已至，敬颂冬绥
平安喜乐，万事胜意#人文扫街##银川##新年#",1,0,0
4857533519107070,ESWIND伊风,7610800235,f,2023-01-13 19:35:02,"2023年，你zui想做的事是什么？
留下你zui想做的
年底的时候，我@你呀，看看你完成了没！

我先来，想去心心念念的地方去旅游，想月月有存款~

抽奖详情 嘿嘿，伊伊会揪1位走心的宝子song轻润款蓬蓬粉哦，助力大家实现新年愿望！
#eswind伊风##油头##新年##愿望#",8,23,15
4857751518582106,北墨染人ih,7342157267,f,2023-01-14 10:01:17,#新年# 还是以前的年味好 绿洲 北墨染人ih的微博视频,0,0,0
4857739874142595,格芮丝菌,3036593474,f,2023-01-14 09:15:01,"绘画 祈福
#新年##插画#",2,0,0
4857728554239186,胶州市融媒体中心,7600137324,m,2023-01-14 08:30:02,#年集##年货##新年#赶年集买年货 农村大集年味浓,2,0,0
4857722757710414,移居上海杂志,1914397557,m,2023-01-14 08:07:00,"每个人的心中都有一个超级英雄，身为亚洲旗舰馆的上海杜莎，也将带来全球杜莎最大的漫威超级英雄专区，实现游客们与超级英雄共同战斗的梦想。

限时预展首站——抢先登陆上海外滩英迪格酒店和上海衡山路十二号华邑酒店结束后，超级英雄蜡像们还将闪现其他上海地标——金茂大厦和新世界城，并于2023年最终集结上海杜莎夫人蜡像馆，盛大揭幕全新漫威超级英雄专区。

农历#新年# 期间，上海杜莎更将有专属新春特色活动，与漫威爱好者们共度“漫威超级英雄年”。

据悉，漫威超级英雄专区为每位超级英雄打造了独特的互动方式，结合光影、声效、感应等多种现代科技，带来独具匠心的沉浸式互动体验。在独家超级英雄挑战区，游客们还能测试自己的英雄战斗力：与浩克比力量、与钢铁侠比科技、与美国队长比反应、与蜘蛛侠比耐力、与惊奇队长携手共战等，在dy发布视频参加漫威超级英雄挑战赛，将赢取更多漫威周边福利。除此之外，仅在上海杜莎可以观赏的《漫威宇宙4D电影》也即将上映，让观众超沉浸感受与超级英雄并肩作战，体验惊险刺激的激战现场。

通过参与@上海杜莎夫人蜡像馆 的双微活动，若干幸运小伙伴已抢先体验漫威超级英雄专区，他们好似穿行进入平行时空，近距离与漫威超级英雄蜡像开启圆梦之旅，体验了一场身临其境的英雄感官盛宴。",0,0,0
4857709734660060,微商正能量语录早晚安,3770311067,f,2023-01-14 07:15:15,"Good morning 早上好
黎明破晓 宣告新一天的来到
朝霞环绕 开启新一天的美好
愿你我 心有阳光 脚踏正道
一路艳阳高照 一路眉开眼笑

#硬糖少女303##春节##早安心语##新年快乐##新年心愿##新年##感情##冬日##2023新年心愿#",2,0,0
4857690721616495,黄金海岸市长TomTate,7632002534,m,2023-01-14 05:59:42,"#黄金海岸市长tomtate# ~2023年黄金海岸第一次日出集锦

[2023]#新年# 新气象，和我一起欣赏这些在#黄金海岸# 拍摄的2023年第一次#日出# 的照片吧！澳大利亚·澳大利亚黄金海岸",1,0,1
4857434785189958,LinNEA-,1111171200,f,2023-01-13 13:02:42,"📦开箱专题 第33期

年前最后一次开箱啦 礼盒集合！还收到了@丝芙兰SEPHORA 的单品！#新年 就耀红# 整个新年就是要敢红 勇敢做自己的态度 狠狠爱住！",523,97,3
4857650343051522,Hannah哟哟,1827964393,f,2023-01-14 03:19:15,"难得呐
#新年# 看见有家门口挂灯笼🏮 gua#纽约##海外生活#",0,1,0
