wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4859011603895098,闪电新闻,1893761531,f,2023-01-17 21:28:25,#全世界苹果都流淌着中国苹果血#【#基因测序证实苹果起源于中国#】山东农业大学的陈学森团队2003年关注到新疆的一个野苹果林，是一个自然的基因库，经过六年时间，利用基因的重测序，证明了新疆野苹果是世界栽培苹果的起源，世界苹果都流淌着中国苹果的血液，“老祖宗在咱们这”。历经多重困难后，陈学森带领团队育成了“幸”“福”“美”“满”等有“中国芯”的红肉苹果新品种，把果盘子牢牢端在中国人手中，2023#山东春晚#将于大年二十八（2023年1月19日）在山东卫视播出，陈学森团队讲述背后故事#教授带队育出红肉苹果填补国内空白# 闪电新闻的微博视频,9223,755,1164
4859167930057518,杨春祥律师,1286351605,m,2023-01-18 07:49:36,"#全世界苹果都流淌着中国苹果血#有些网友什么都往爱国上扯，其实也是一种极度不自信的表现。
玉米、土豆和红薯解决了中国人的吃饭问题，没有玉米、土豆和红薯的引进，就没有后来中国人口的快速增长，可以说，这三种作物为中华民族的繁荣昌盛贡献巨大，但是它们都并非中国基因。
地球很小，世界需要合作，我们一定要在爱国主义和国际主义之间找到很好的平衡点，这样才能真正的融入世界。",297,18,4
4859182429506520,安徽政法,6105864408,m,2023-01-18 08:47:13,早安 #全世界苹果都流淌着中国苹果血##多地春节气氛组已就位#,37,26,66
4859165341648432,四川长安网,6176174063,m,2023-01-18 07:39:19,#早安#四川政法干警 #全世界苹果都流淌着中国苹果血#,43,89,0
4859165078192578,淮安法院,1980893324,m,2023-01-18 07:38:16,早安 早安，淮安 #深圳一网友称在山姆买到蓝环章鱼##全世界苹果都流淌着中国苹果血#,145,121,0
4859192789173758,长安数码君,1769228100,m,2023-01-18 09:28:23,#全世界苹果都流淌着中国苹果血#，点开之前我还以为说的是全世界的苹果手机都有中国生产的影子，没想到说的真是苹果啊,198,28,9
4859176972978965,Hamicat哈咪猫,1865587512,f,2023-01-18 08:25:32,哈咪猫#全世界苹果都流淌着中国苹果血##壁纸#,46,26,27
4859166395203996,科技调查君,1933238867,m,2023-01-18 07:43:30,#全世界苹果都流淌着中国苹果血#还以为库克的苹果呢？原来是我中国的🍎……但是看视频里面的苹果好像是花牛吧？,89,32,23
4859174263721054,手机界大佬,1978107555,m,2023-01-18 08:14:46,#全世界苹果都流淌着中国苹果血#中国苹果：各位外国朋友，你们都听好了，你们手里的苹果🍎都是我的子孙后代，我是它们的老祖宗,53,31,9
4859165770253981,成都人社局,2397088380,m,2023-01-18 07:41:01,#早安# 人生短暂，如梦似幻，要把时间放到美好的事物上。静静地感受微风的抚摸，悠悠的享受骄阳的温和#全世界苹果都流淌着中国苹果血#,134,198,1
4859158765504284,洪泽区法院,3053410827,m,2023-01-18 07:13:11,早安带着一颗火热的心 拥抱生活 生活也会 回馈你一份 美好！ 早安，洪泽 据媒体#全世界苹果都流淌着中国苹果血##30岁女子大弟弟妹妹20几岁# 洪泽区法院的微博视频,245,273,4
4859563898308298,改个名图新鲜,1753030961,m,2023-01-19 10:03:02,#全世界苹果都流淌着中国苹果血#敢不吃国产苹果，批斗死你们，一群汉奸,0,0,0
4859161857229916,溧阳检察,5516930885,m,2023-01-18 07:25:28,早安最大的幸运就是你依然可以重新开始，所以即便在谷底也不要就此放弃。早安！#全世界苹果都流淌着中国苹果血##妈妈的脾气为什么变差了##今日贴纸打卡# （图片来自网络）,203,319,2
4859537721131355,半岛网,1704544512,m,2023-01-19 08:19:00,"#全世界苹果都流淌着中国苹果血#【#基因测序证实苹果起源于中国#】“这是装有‘中国芯’的苹果，是我们中国人自己的苹果。”当谈到团队培育的4个红肉苹果“幸红”“福红”“美红”“满红”时，山东农业大学园艺学院教授、国家技术发明二等奖获得者、全国脱贫攻坚先进个人陈学森充满了幸福与自豪。

位于新疆伊犁的野生苹果林，面积约14万亩，野生苹果多达84种。2003年，陈学森就开始关注这个天然的苹果基因库，并带领团队多次来到这里，采集野苹果，进行基因测序，经过6年时间他们就证明了新疆野苹果是世界栽培苹果的起源，世界苹果都流淌着中国苹果的“血液”。据了解，陈学森先后选育出20多个果树新品种及配套技术，并无偿送给果农使用，在山东、陕西等丘陵贫困地区累计推广800余万亩。闪电新闻的微博视频",2,0,0
4859450022430294,风暴诞生张丹妮5th,6122637452,m,2023-01-19 02:30:32,#全世界苹果都流淌着中国苹果血#果盘子牢牢端在中国人手中……这句话怎么理解啊？苹果祖宗一声令下，全世界苹果拔起根就跑？那人家土豆祖宗用对等手段反制怎么办？,12,4,1
4859406929629028,淄博日报,7764931195,m,2023-01-18 23:39:18,#全世界苹果都流淌着中国苹果血##全世界苹果都流淌着中国苹果血#,1,1,0
4859368930281525,花容不可失色,7258742555,f,2023-01-18 21:08:18,#全世界苹果都流淌着中国苹果血#底下说研究这个干啥的，赤裸裸显示了自己的无知,4,0,0
4859361434538625,拖拉机拉不拉叽,6391884040,f,2023-01-18 20:38:31,#全世界苹果都流淌着中国苹果血#母校 上学路过实验苹果田毫无感觉 结果这么牛逼,0,0,0
