wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4859260704134919,电视剧去有风的地方,7740888231,f,2023-01-18 13:58:15,#去有风的地方# @许红豆_心动中 和@谢之遥_心动中 请你吃席啦！明晚19点，红豆遥遥冰糖席准时开启，云苗村吃席团小葫芦@演员赵爱诚 坨坨@徐梓嘉1001 虎子@苟梓轩575 果宝@沐伊凯凡 准时入席，追风人们扫码入场，不要错过～#红豆遥遥冰请你吃糖席#,101,37,4
4859221549779324,幸运木兰全球大爆,5845546435,m,2023-01-18 11:22:40,"刘亦菲
喜报:#去有风的地方#
更新时间2023/1/18领先情况
猫眼剧集峰值年度第一
百指刘亦菲峰值年度第一
V榜刘亦菲峰值年度第一
微指刘亦菲峰值年度第一

德塔文剧集最高2.2
V榜剧集最高86+
百指剧集最高36万+
冷门题材，刘亦菲不冷，剧不冷",260,27,1
4859265241584389,木魅的刺猬,6118361437,f,2023-01-18 14:16:17,#刘亦菲许红豆# 凤姨和阿桂婶这段看得我有点想哭，几十年的老闺蜜，会互相嫉妒生气，但什么话都可以讲的老闺蜜，那话也是对的，太过客气就无法亲近……两位演出好多细节，真的特别好#去有风的地方#,0,0,0
4859265167136677,海中月镜中花,7018039378,f,2023-01-18 14:15:59,#许红豆人家图我大美女# #去有风的地方# 不到最后一刻我们都不知道结局，所以还是可以期待一波的。,2,0,0
4859264831852178,-你坏坏-,1965660700,m,2023-01-18 14:14:39,"#去有风的地方#
我觉得26集就可以大结局了
be美学YYDS",0,0,0
4859086803567270,Mulan驸马,5311917548,m,2023-01-18 02:27:14,"#去有风的地方#
刘亦菲，不用台词，她的眼睛就会告诉你，什么叫与角色浑然一体",196,7,1
4859264646254237,全部全部都想要,5864831784,f,2023-01-18 14:13:55,"今天看去有风的地方一段男女主拉扯对话
“当时也过不去
但是总会过去的
要是这辈子都过不去呢
那也总会过去的
过不去的也会过去的
但是道理都明白
遇到事还是过不去”
但那又有什么办法呢，那就一切如风，希望都没什么好过不去的吧。
去有风的地方电视剧#去有风的地方#",1,0,0
4859208745617757,谢之遥_心动中,7809646643,m,2023-01-18 10:31:47,小可爱最近仿佛进入了叛逆期。#去有风的地方#,1016,112,14
4859264529859392,-ElaineDing,1958574072,f,2023-01-18 14:13:27,"#去有风的地方# 很久没有看过这么治愈的电视剧了 每一帧画面都很美 台词真的超有力量！剧里有许多平凡的小人物 活得通透且踏实 知足快乐的满足感～映射出生活的智慧 时间会带走一切也会治愈一切
有机会也要去趟大理 去有风的地方🌾",0,0,0
4859264487136938,顺其自然芸,2681403021,f,2023-01-18 14:13:17,"#去有风的地方# 我的评分：
非常治愈的一部作品，看了真的好上头，每天期待更新更新更新",0,0,0
