wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4858952271793085,神店通缉令,2478838621,m,2023-01-17 17:32:39,#西安啊那没事了#… #我的新年欢乐祈愿#,49340,2178,4830
4859067308967300,卫平布莱恩特-,5868069966,f,2023-01-18 01:09:46,❤️#西安啊那没事了# 那就顺手分享一个关于西安和兵马俑的纪录片——《秦始皇的幽灵军队》给大家，一起来看看这个世界第八大奇迹吧！#王抽抽二象性# 卫平布莱恩特-的微博视频,2692,38,499
4859153162699673,西安碑林-白雪松,7401867945,m,2023-01-18 06:50:55,"唐代最幸福的女人是谁呢？武则天还是杨玉环？
#西安啊那没事了##让春节有仪式感的小事#
个人觉得武则天他妈 荣国夫人杨氏 值得考虑

1.家境优渥：老爹杨士达 贵为 隋代门下省纳言，绝对的国家顶级官员。

2.自己不被逼婚，44岁才嫁给武士彟，找的理由是信佛......

3.作为高龄产妇，44岁结婚后一连生了三个女儿，本来在古代没有儿子似乎是扣分项，奈何二女儿叫武则天

4.武则天寿命82，已经是中国最长寿的皇帝之一了，结果杨氏活了92岁，历经了北周、隋、唐三个朝代，比苟活大师司马懿还多活了20岁

5.杨氏的陵墓比唐代开国皇帝李渊的陵墓几乎大一倍，她陵墓前的石雕走狮，被称作“东方第一走狮”，就连复制品都摆放在中国最有名的博物馆之一陕西历史博物馆一进门最显眼的地方

6.直到现在，还有人孜孜不倦的在研究她

大家心中唐代最幸福的女孩子是谁捏？",314,44,42
4859163220640748,西铁资讯,2108237403,m,2023-01-18 07:30:53,【早安 西铁】西安，一个充满神奇和活力的地方，走近它，你会为历史遗存的完美博大所震叹，又会为现代建设的勃勃生机所感喟！有人说：“ 西安这座城，吹过的风都是文化，踩的地全是历史”。罗马哲人奥古斯都说过“一座城市的历史就是一个民族的历史”。西安，这座永恒的城市，就像一部活的史书，一幕幕，一页页记录着中华民族的沧桑巨变。早安早安心语#西安啊那没事了##情感语录# 西铁资讯的微博视频,285,245,10
4859050036825339,速递视频君,5714505323,m,2023-01-18 00:01:08,#西安啊那没事了#西安：一个地下的人，比地上还多的城市！ 速递视频君的微博视频,1303,117,76
4859082525640210,执著的老宋,6612642961,m,2023-01-18 02:10:14,"经典战争剧集《血战太平洋》豆瓣 9.0分！！

史上最昂贵的系列剧集，总投资2.5亿美元。

★ 艾美奖最佳剧集
★ 艾美奖最佳电视电影
★ 艾美奖最佳演员阵容奖

《血战太平洋》被称为另一部HBO的经典战争剧《兄弟连》的姐妹篇，剧组仍以大导演斯皮尔伯格(Steven Spielberg)和影星汉克斯(Tom Hanks)作为领衔制作人，其他编剧导演也多为《兄弟连》的班底。《兄弟连》讲述美军在欧洲战场的遭遇，而《太平洋》讲述美军在太平洋战区的战事 ——

独处的纳兰88的微博视频
#西安啊那没事了#",88,0,104
4859141195039368,柳州公安,1770545650,m,2023-01-18 06:03:22,#全世界苹果都流淌着中国苹果血##西安啊那没事了#柳州，早安,43,72,0
4858962837250643,这个微博有点贱,2615577972,m,2023-01-17 18:14:38,#西安啊那没事了#笑死了，西安修地铁，最忙的就是文物局,3823,137,72
4859077199135717,黄一诺,3784053797,f,2023-01-18 01:49:04,#西安啊那没事了# 在西安见怪不怪的事，你还知道有哪些？,546,69,71
4859054021415201,第一眼的意中人,5366720146,m,2023-01-18 00:16:58,地上还没开盘，地下已经住满了。 #西安啊那没事了#,404,4,4
