wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4858996484217057,春晚,3506728370,f,2023-01-17 20:28:20,【 #马丽说今年春晚小品题材是挑战# 】@演员马丽 @邓超 现身2023年央视春晚彩排现场！@演员马丽 透露她今年小品的创作题材“是一个挺大的挑战” ，期待给大家带来快乐的同时也正能量满满；而@邓超 的一段贯口式拜年，深深感受到了他的诚意！#邓超2023年春晚采访贯口式拜年##春晚# 春晚的微博视频,6443,351,545
4859088901767696,芒果捞小丸子,3022787077,f,2023-01-18 02:35:34,#马丽说今年春晚小品题材是挑战# 那很期待马丽演的小品啊！而且姐姐电影票房也很棒啊，期待马丽的表演！,423,74,46
4859172523083275,·当代财神·,6078441060,m,2023-01-18 08:07:51,每日宜善 滚石因斯小哲相关多给🔥度 𝐺𝑂𝑂𝐷 𝑀𝑂𝑅𝑁𝐼𝑁𝐺 💐 晒包、晒表，不如起来晒晒太阳🌞 又是元气满满的一天 ！ 在一些不那么美好的日子里 学会给自己找一个开心的理由！ 早安(｡･ω･｡)ﾉ♡ #马丽说今年春晚小品题材是挑战#,37,21,0
4859167091458271,小阳加点椰,6568882564,f,2023-01-18 07:46:15,#马丽说今年春晚小品题材是挑战#我真的会佩服各位的阅读理解能力，各位完成九年义务教育了吗？人家说今年的题材对自己来说是挑战，没说题材是“挑战”俩字。开麻从来没有“包饺砸”“提高生育率”的小品，别看见“春晚”俩字就开始玩烂梗。前脚说着春晚全靠开麻撑，后脚来热搜底下吵着春晚小品都难看，你们是精神分裂吗？看见人家说带给大家正能量你们就开始不买账，怎么着，官方采访换你你想怎么答？还没演就各位开始破防，也挺搞笑的哈,269,23,0
4859184108016541,楠亓7,6478860254,f,2023-01-18 08:53:53,"#马丽说今年春晚小品题材是挑战#
开心麻花可没演过煽情包饺子，别到处乱咬人",46,0,0
4859258611697916,意念养生家,2106312831,f,2023-01-18 13:49:56,#马丽说今年春晚小品题材是挑战#期待开心麻花，沈马组合,1,0,0
4859257923306072,Likunyanga,7470848639,f,2023-01-18 13:47:11,"#马丽说今年春晚小品题材是挑战# ml#马丽值得#

“海浪是大海献给黄昏的温柔，遇见你是世界献给我的温柔。”""𝓣𝓱𝓮 𝔀𝓪𝓿𝓮𝓼 𝓪𝓻𝓮 𝓽𝓱𝓮 𝓰𝓮𝓷𝓽𝓵𝓮𝓷𝓮𝓼𝓼 𝓸𝓯 𝓽𝓱𝓮 𝓼𝓮𝓪 𝓽𝓸 𝓽𝓱𝓮 𝓭𝓾𝓼𝓴. 𝓜𝓮𝓮𝓽𝓲𝓷𝓰 𝔂𝓸𝓾 𝓲𝓼 𝓽𝓱𝓮 𝓰𝓮𝓷𝓽𝓵𝓮𝓷𝓮𝓼𝓼 𝓸𝓯 𝓽𝓱𝓮 𝔀𝓸𝓻𝓵𝓭 𝓽𝓸 𝓶𝓮.""🥀

@演员马丽",11,18,0
4859231038350608,抹茶味的酸奶,2834949907,f,2023-01-18 12:00:22,#马丽说今年春晚小品题材是挑战#但凡看过开心麻花春晚小品的，都不会说出包饺砸这种蠢话,17,0,0
4859181314868272,Heartbeat十六,6093396510,f,2023-01-18 08:42:47,#马丽说今年春晚小品题材是挑战#某些人别跳，春晚你们还得靠人家开麻别图一时嘴痛快，说话掂量掂量，他们什么时候演过当下俗套的题材，忘了你们每年说开心麻花牛逼的时候了，被他们逗笑的不知道是谁，每年从他们身上得到安慰的不知道是谁，上嘴唇一碰下嘴唇，说话怎么就那么容易呢？娱乐至上是吧？调侃是吧？少拿你自以为很幽默的态度出来得瑟,46,8,0
4859236905652634,麦田脆圈,7463778352,f,2023-01-18 12:23:41,#马丽说今年春晚小品题材是挑战#我当时就反骨了，开心麻花自始至终就不爱那些“包饺子”的东西，他们可能更爱火锅和烧烤,14,3,0
4859251447828706,修狗摇摇尾巴吃果冻,6923095702,f,2023-01-18 13:21:28,#马丽说今年春晚小品题材是挑战#要永远相信开心麻花,2,0,0
4859241129836653,·乒乒乓乓在说话,6547763619,f,2023-01-18 12:40:27,#马丽说今年春晚小品题材是挑战# 我说开麻哪年演包饺子的小品了你们这帮网友别太荒谬了吧。。。又不是自己被开麻小品乐的亲爹都找不着的时候啦。。。你们踏马真不配看开麻的小品。。。,8,0,0
4859239753320042,爱奇艺,1731986465,m,2023-01-18 12:35:00,"#马丽说今年春晚小品题材是挑战# @演员马丽 透露小品的创作题材“是挺大的挑战”@邓超 贯口式拜年，诚意MAX#邓超2023年春晚采访贯口式拜年##春晚#
1月21日，锁定@爱奇艺 ，#2023艺起过年#花絮：马丽挑战最新小品题材 邓超贯口拜年诚意满满",8,3,0
4859238855999555,_陨石i拿铁Y,6231839810,f,2023-01-18 12:31:25,"#马丽说今年春晚小品题材是挑战#
别的不说，初代开心麻花还是很让人放心的！

但凡看过之前开麻的春晚小品，都会觉得哇靠这竟然上了，好勇！很有意思！反正永远相信沈马！",6,0,0
