wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4878548240699181,新浪新闻,2028810631,m,2023-03-12 19:20:02,【医生紧急提醒！#不吃主食或造成大脑功能衰退#】在中国人的餐桌上，米饭、面食等各类主食绝对能撑起半边天。但现在，有人却认为主食和“三高”等慢性病有关。医生提醒，主食提供我们全天膳食50%以上的能量，不吃主食会导致身体营养不均衡，是很多疾病的诱因。那么，不吃主食会给人体造成哪些伤害？①大脑功能衰退；②肌肉流失；③便秘：④神经系统失调。（央视财经） 医生紧急提醒！为减肥不吃主食，或致大脑功能衰退！,12919,1559,1902,北京,中国,北京
4879091695879164,徐嘉博士,5936992754,m,2023-03-14 07:19:32,"【健步走可以逆转脑萎缩】研究显示健步走可以逆转脑萎缩，特别是存储记忆的海马体。要走多久？不用天天走，只要每周三次，每次40分钟就有效了 巴纳德医生的完整演讲 👉 网页链接

#不吃主食或造成大脑功能衰退# #微博健康公开课# #微博健康在关注# @微博健康 @新养生赢家 徐嘉博士的微博视频",254,5,164,,德国,德国
4879142811861077,北京头条,1644948230,m,2023-03-14 10:42:38,【医生紧急提醒！#不吃主食或造成大脑功能衰退#】据央视财经：在中国人的餐桌上，米饭、面食等各类主食绝对能撑起半边天。但现在，有人却认为主食和“三高”等慢性病有关。医生提醒，主食提供我们全天膳食50%以上的能量，不吃主食会导致身体营养不均衡，是很多疾病的诱因。#你最爱吃的主食是什么#？ 网页链接,180,10,5,北京,中国,北京
4879122045604204,妇产科的陈大夫,2495784474,f,2023-03-14 09:20:08,"#不吃主食或造成大脑功能衰退# 你有没有见过自己差点把自己饿死的病例？我没见过但我见过不吃主食把自己送进icu的病例。

人的大脑没有糖原储存，其供能完全依赖血糖。而主食中的碳水化合物则是血糖的主要来源。在不消瘦的前提下，人如果不吃主食，还能通过肝糖原分解维持血糖平衡。但人如果已经相当消瘦，没有肝糖原可供分解，此时人再不吃主食，就容易发生低血糖。而严重的低血糖对人脑的打击是致命的，不死也残。即使能够侥幸保住性命，也有可能对脑组织产生不可逆的损伤。

另外，不吃主食的减肥法对卵巢功能也会产生毁灭性打击。

因此，我建议大家：
1、不要过度减肥
2、不要不吃主食

希望大家能明白：靠不吃碳水的方法减肥是不科学的，真正科学的减肥方法是调整饮食结构+运动。
将部分精粮替换为粗粮，降低碳水的升糖指数，降低进食后的血糖峰。血糖峰下降后，胰岛素分泌也会随之下降，脂肪转化也会相应下降。这才是科学减肥的不二法门。
#让她健康#
作者：妇产科的陈大夫
介绍：三甲专科医院妇产科医生、医学科普作者
版权说明：本文为原创科普，未经授权，禁止任何形式的发布与商业用途。",39,17,4,,中国,江苏
4879092811302646,植物人史军,1410812623,m,2023-03-14 07:23:58,"#不吃主食或造成大脑功能衰退#
我们的大脑是嗜甜的，因为大脑工作需要且仅需要一种能量物质，那就是葡萄糖。缺乏葡萄糖供应，大脑的的功能就会受影响。

注意了，相对于蛋白质，我们的大脑其实更在意的糖，越能直接提升血糖的食材就越受大脑欢迎。当然，在吃下这些食物的时候，大脑就会分泌大量的多巴胺，继续刺激我们去做获取相同食物的工作。这种行为其实早已写在了我们的基因当中。

在非洲东部生活的哈德扎部落（Hadza），仍然维持狩猎采集生活。人类学家弗兰克·马洛和茱莉亚·贝尔贝斯对这个部落的饮食进行了研究。科学家对部落成员的饮食偏好进行了统计，结果发现在包括肉类，蜂蜜，浆果，猴面包树果实和植物根茎这五类食物的选择中，不管男人和女人都会优先选择蜂蜜。

毫无疑问，蜂蜜是最佳的食物，因为这种食物能快速补充糖分，并能让我们的大脑产生愉悦感。至于说肉类，是男性的第二选择。但女性的第二选择却是浆果。

这大概与性别分工有关，男性更喜欢狩猎，而女性选择采集，久而久之，那些在相关工作中拥有更高效率的基因（个体）自然就被筛选了出来。不管怎么样，对于糖的渴求是写在人类的基因中的，这种渴求甚至要高于对肉类的渴求。

其实在我们身边也有很多这样的例子，传统上，南方人说吃饭的意思就是吃米饭，北方人的一顿大餐总会以面条或者饺子作为收尾，对碳水化合物的偏执并不是简单的文化记忆，而是生理和心理因素共同决定的。
#植物塑造的人类史##微博公开课#",540,75,136,北京,中国,北京
4879151398388445,少年伯爵,2275284204,m,2023-03-14 11:16:45,"#不吃主食或造成大脑功能衰退# 2010年的时候，科学家对290名小孩受试者（145名男孩，145名女孩；年龄范围：5.6至18.4岁）进行了不同的早餐主食（大米和面包）影响大脑灰质体积和认知功能的研究——

结果如图①②③所示，大米组的灰质比（灰质/颅内体积）明显更大，包括左上颞回和左下额回区域，

而面包组的灰质比相对更小一些，不过，它在右前叶区域中具有更大的区域灰质和白质体积。

在此次研究样本空间内，大米组的整体智商明显高于面包组（t=1.892，p=0.06），而大米组和面包组之间的vIQ和pIQ都没有显著差异（vIQ，t=1.702，p=0.090；pIQ，t=1.621，p=0.107）

为什么会有这种差异呢？

根源是——煮白米饭和白面包成分之间的主要区别在于它们各自的GI

煮白米饭的GI低于白面包（煮白米饭：白面包=68 ∶ 100），

摄入低GI食物后，血糖上升相对较小，其次是稳定的血糖浓度，这表明低GI食物比高GI食物提供更稳定、更高效的葡萄糖供应。

此外，儿童大脑代谢葡萄糖的利用率大约是成人的2倍（在青春期前，儿童的每个神经元平均突触数量是增函数）

由于大脑消耗的葡萄糖很大一部分用于维持神经元中的静息膜电位，因此，稳定高效的葡萄糖供应对儿童大脑成熟很重要。

请大家参阅。",170,41,69,太原,中国,山西
4879179675606179,营养师刘遂谦,3628168463,f,2023-03-14 13:09:08,"#不吃主食或造成大脑功能衰退##微博健康公开课##家庭健康守护计划#

葡萄糖，是大脑细胞唯一能够利用的能量物质。换句话来说，如果葡萄糖供给不足，大脑细胞得不到充足的“食物”，大脑就会挨饿。挨饿的细胞，就不能正常工作，会导致功能减退，甚至生病。

⚠️ 当碳水化合物摄入不足，能够快速供给大脑的“糖”就会不足。这种情况下，作为人体司令部/指挥官/最高权利部门，大脑是不可能让自己忍饥挨饿的。所以，它会指挥身体动用储备的脂肪和蛋白质，通过“糖异生”途径（一系列非常复杂的生理生化过程），将脂肪和蛋白质转换成葡萄糖。

不过，这个过程，相比于充足的碳水直接供糖，成本要高得多，而效能却低不少。相当于动用了更多的人力物资成本，来完成原来可能只需要很少的人手就能干完的活儿，且出活速度慢的多……

所以，大脑虽然还能凑合生存和工作，但会出现反应迟钝、注意力不集中、容易犯困等问题。长久下去，还会出现功能的衰退。

📌 食物中可以提供碳水化合物的，当然不止主食，还有水果、蔬菜、牛奶等。但是，主食不仅提供糖分，还提供全天约1/3以上的蛋白质，以及一部分B族维生素。主食中的全谷类，其谷壳部分所含的膳食纤维，外加上谷类的复杂碳水本身，能够“养活”我们肠道里的益生菌，让菌群环境更稳定、多样性更好，更有利于疾病预防。

⚠️ 值得一提的是：既往的研究证明，膳食碳水化合物的摄入量太多（高于70%）或太少（低于40%），都会缩短寿命！维持较长寿命最理想的比例，应该是在50%~55%之间。而这，恰好是各国膳食指南一直推荐的摄入比例。

所以，不要再傻傻不吃主食啦！保证主食的质，才是更需要关注的！在无消化系统问题的前提下，全天粮谷类食物中不少于1/3的全谷类，会更加有利于食欲控制和总体健康哦～",7,4,7,北京,中国,北京
4879278607434365,济南市文化和旅游局,2115973751,m,2023-03-14 19:42:15,#生活小百科##不吃主食或造成大脑功能衰退#【#主食吃多少才合适#？】大脑功能衰退、肌肉流失、便秘、神经系统失调……说出来你可能不信，这些都可能是不吃主食引起的。主食在国人餐桌的地位，自古以来就是无可撼动的。米、面、杂粮、薯类……各类主食的碳水化合物是人体不可缺少的重要营养物质，对维持神经和心脏功能、增强耐力、提高效率很重要↓↓via生命时报,0,0,0,济南,中国,山东
4879277852460273,lsdnxy24,3969518971,f,2023-03-14 19:39:15,"#不吃主食或造成大脑功能衰退#
啊这，吓得我赶紧点份寿司🍣
最近精神状态确实不太好",0,3,0,广州,中国,广东
4879274287304865,玩到转世,1734428644,f,2023-03-14 19:25:05,"#不吃主食或造成大脑功能衰退#117家媒体发布？那我也随波逐流一下！
吃了，没饱！",0,0,0,惠州,中国,广东
