wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4861946355257611,鬽影縫匠,6407214787,m,2023-01-25 23:50:04,#中国乒乓撤档##你好春节档# “以真心换真心”不过是个太过美丽的童话，不满就要说出来，支持“中国乒乓”的决定,180236,7675,703,西安,中国,陕西
4862077154363208,孙悟空打败大魔王,5085097624,f,2023-01-26 08:29:49,易烊千玺粉丝简直了，主子偷完电影偷，电影偷完粉丝还趾高气扬的跑人家这么惨的中国乒乓里来幸灾乐祸阴阳怪气，《小偷的格局》。 #邓超俞白眉回应中国乒乓排片少# #中国乒乓撤档#,20069,1297,113,淄博,中国,山东
4861923118551288,鲲鹏万里-漫威加载中,5915351464,f,2023-01-25 22:17:44,"#电影中国乒乓之绝地反击#改档2月17日
#中国乒乓撤档#

致所有关心电影《中国乒乓之绝地反击》的影迷朋友们：
因我们宣传发行团队在决策、筹备、推进工作中存在重大失误和严重不足，致使影片在春节档陷入特别被动的局面。让这样一部赤诚之作，无法收获更多观众的评析，我们深感心痛。在此，要对二位导演、诸位主创以及上千名幕后工作人员致以最诚恳的歉意。

为了让这部优秀的影片能被更多的观众看到，经片方决定，电影从初五开始调整为小规模放映，并于2月17日“绝地反击”。宣发团队将更加努力地做好每项工作，力求不辜负二位导演、全体主创及所有幕后人员的心血，不辜负观众朋友们的支持与期待。",14540,713,173,佛山,中国,广东
4862093901172561,极目新闻,1720962692,m,2023-01-26 09:36:22,【#中国乒乓撤档#】#中国乒乓宣布撤出春节档#25日晚，《中国乒乓之绝地反击》片方宣布影片将延期至2月17日正式上映，从初五开始调整为小规模放映。导演俞白眉也在昨日直播时对电影排片少的事情做出了回应：“前几年影院很困难，今年春节档难得热闹，影院按经济效益排片是合理的。”#邓超俞白眉回应中国乒乓排片少# 极目新闻的微博视频,4802,308,80,揭阳,中国,广东
4861951375314771,iWarrenS,5259434254,m,2023-01-26 00:10:01,有网友说今年春节档载入史册没问题吧……你们认同吗？#吴京赞过##中国乒乓撤档##影院回应设备故障流浪地球2改播满江红#,188476,5487,1331,南阳,中国,河南
4862105645486208,小明Voix,1708575033,f,2023-01-26 10:23:02,#中国乒乓撤档# 中国乒乓的绝望：,6882,195,77,金华,中国,浙江
4862084942924928,皇城根下刀笔吏,2032759640,m,2023-01-26 09:00:46,#中国乒乓撤档# 老大和老二打架，老三、老四、老五惨了，连存在感都快没了。中国电影已经到了神仙打架的日子。如果你是神仙，票房铁定杠杠滴。如果你不是神仙，遇到神仙打架的话，只能先让一让。,1781,129,35,,中国,云南
4862071433069939,土楼先生,1098532113,m,2023-01-26 08:07:05,"#中国乒乓撤档#怪满江红太火了，流浪地球2票房没上去怪满江红太火了，无名排片没上去，怪满江红太火了？连机器设备故障也怪人家？而满江红太火都是因为易烊千玺，所以疯狂输出他。甚至还有戴各种高帽子，商业要给科幻，文艺让道？
什么事情都能怪满江红，满江红遇到图中这种问题，人家也没拿来炒。什么破事都要往易烊千玺上靠？还好他屹立不倒。讲不过就说你是氵君，或是又搞小镇做题家，汰渍那一套。实在是前所未见闻所未闻！#影院回应设备故障流浪地球2改播满江红#",3490,161,129,漳州,中国,福建
4861953354240614,妮通讯录,6307228114,f,2023-01-26 00:17:53,#中国乒乓撤档# #邓超俞白眉回应中国乒乓排片少# #满江红 龙门镖局# 邓超这部口碑确实不错，但是基本没有排片，有的人开车几个小时去外地看，而且头部 流浪地球2的影迷和满江红的粉丝吵得不可开交，什么盗摄，流量对冲，今年的春节档真的可以载入史册了从来没有这么强烈的影片互殴头痛实感,21445,1095,77,滨州,中国,山东
4862109756690643,微天下,1893801487,m,2023-01-26 10:39:22,"【《中国乒乓》撤档、吴京手滑…春节档热搜不断】春节档，有关电影热搜不断。#中国乒乓撤档##吴京 手滑了##春节档 精彩#

先来看看春节档票房数据。灯塔专业版显示，截至1月26日7:07，春节档新片总票房已经突破50亿，达50.46亿元。《满江红》、《流浪地球2》、《熊出没》三部影片暂列前三，票房分别为18.96亿、16.61亿、5.43亿。 《中国乒乓》撤档、吴京手滑…春节档热搜不断",312,39,15,北京,中国,北京
4862069818524571,小白测评,2022252207,m,2023-01-26 08:00:40,"#中国乒乓撤档#这也太突然了...
昨天看豆瓣开分7.0还想着有空去看

一波三折这片子从原定的大年初一上映→改档到大年初三上映→初三初四上映两天，初四昨晚上宣布撤档，宣布初五起调整为小规模放映，2月17日恢复上映。整个黄金期算是没了。

#中国乒乓初五起调整为小规模放映##中国乒乓2月17日恢复正常上映#",732,141,16,武汉,中国,湖北
4862079955110872,科技小公举,3610415015,m,2023-01-26 08:40:57,"#中国乒乓撤档#这电影好惨啊，好不容易改期几次上映了，结果被满江红、流浪地球、交换人生、无名给疯狂吊打。

原定的大年初一上映→改到大年初三上映→初四昨晚上宣布撤档，初五起调整为小规模放映，2月17日再重新恢复上映。

有人看过这电影了吗？",81,32,6,临汾,中国,山西
4862200546857809,济州府大鹏哥,1880285050,m,2023-01-26 16:40:08,"#中国乒乓撤档##中国乒乓宣布撤出春节档# 比现实还现实
以退为进，方为上策
邓超方面，宣布《中国乒乓之绝地反击》影片将延期至2月17日正式上映，也就是说，这部电影正式退出了春节贺岁档的片子争夺，其实想想也是情有可原。
在之前的点映中，《中国乒乓之绝地反击》观众反馈小于预期，尤其是在《满江红》跟《流浪地球2》两大豪强电影面前，其他电影，都得为之折服，演出方初五小规模放映，2月17正式上映的策略，也是可行的，这并不丢人。
导演俞白眉也回应说：前几年影院很困难，今年春节档难得热闹，影院按经济效益排片是合理的。
其实就是，影院憋了几年，好不容易迎来一个肥年，第一想法就是挣钱，那些上座率低，反馈一般的电影，都会减少拍片的，毕竟，影院熙熙攘攘的景象，大家盼了好久，等了好久。
对于《中国乒乓之绝地反击》，片方其实应该采取其他方式，拉动票房，促进票房了，毕竟，一部电影的产生，并不是那么容易，聚焦了太多人的努力与关注。
#邓超俞白眉回应中国乒乓排片少#",0,0,0,阜阳,中国,安徽
4862130685217191,爱范儿,1642720480,m,2023-01-26 12:02:32,"【#中国乒乓撤档#改为小规模放映，2 月 17 日起恢复正常上映】
新浪娱乐消息，《中国乒乓之绝地反击》官微发布声明，称为了让影片能被更多的观众看到，片方决定影片将于今日（1 月 25 日/大年初五）起调整为小规模放映，至 2 月 17 日恢复正常上映。

官方在声明中表示：「因宣传发行团队在决策、筹备、推进工作中存在重大失误和严重不足，致使影片在春节档陷入特别被动大的局面。」

该片于今年 1 月 24 日（大年初三）上映，截止 25 日结束，两天票房为 4036 万元。",9,9,1,广州,中国,广东
4862184397475158,南都全娱乐,2011874330,f,2023-01-26 15:35:58,"#中国乒乓撤档#25日晚，原定档于大年初三的《中国乒乓之绝地反击》发布通告宣布撤档，并预告将于2月17日“绝地反击”。通告称，因宣传发行团队在决策、筹备、推进工作中存在重大失误和严重不足，致使影片在春节档陷入特别被动的局面，并向两位导演、诸位主创以及上千名幕后工作人员致以诚恳歉意。从初五开始，电影将调整为小规模放映。

据灯塔专业版数据显示，截至1月26日上午9点，电影累计票房4266.6万，上映首日（1月24日）票房2925.2万，仅占当日大盘总数的2.6%，1月25日票房占比大盘跌至0.7%。

电影原定档于大年初一，后改档大年初三。在本次宣布改档前，主演兼导演邓超已完成苏州、福州、广州等地的路演。而2月17日前后，《黑豹2》《蚁人与黄蜂女：量子狂潮》《毒舌律师》《风再起时》等电影已官宣定档。",1,0,0,揭阳,中国,广东
4862182649502035,科技邓先生,3324797184,m,2023-01-26 15:29:01,满江红和流浪地球2竞争太激烈，#中国乒乓撤档#这部暂避锋芒，暂避锋芒之后你们觉得他的票房会迎来翻盘吗？,2,3,0,成都,中国,四川
4862172628779120,岛叔看天下,3140752367,m,2023-01-26 14:49:11,#中国乒乓撤档# 票房有点差啊！,1,0,0,北京,中国,北京
4862168208512504,东七区无面者FacelessMen,2116791942,m,2023-01-26 14:31:38,内娱电影市场看演员就知道了，一大堆相声小品演员演电影，还有一帮不知道是不是演员还是歌手沉迷于真人秀捞钱无法自拔，我觉得确实没啥可看的，不过三体我还是要看看的，三体毕竟已经是成功走向世界。#流浪地球2让吴京重返20岁##中国乒乓撤档#,9,3,0,,中国,香港
4862091909660993,蹴鞠人守望者,3288923513,m,2023-01-26 09:28:26,"#中国乒乓撤档# 春节档的几部电影哪个好看？看过的老哥来指个路，打算明天去看
流浪地球2
满江红
中国乒乓
无名",101,41,0,上海,中国,上海
4862093418825098,凤凰网娱乐,1900552512,f,2023-01-26 09:34:27,【#中国乒乓撤档# 】1月25日晚，恒业发表公告，表示《中国乒乓之绝地反击》因宣传发行团队在决策、筹备、推进工作中存在重大失误和严重不足，致使影片在春节档陷入特别被动的局面。经片方决定，电影从初五开始调整为小规模放映，并于2月17日“绝地反击”。该片大年初三上映，票房、上座率均大幅落后，上映两天后不得不紧急改档，变为小规模点映，正式上映日期推到了2月17日。据悉，电影《中国乒乓之绝地反击》曾于1月16日官宣影片从大年初一改档至大年初三上映。#中国乒乓二度撤档#,205,35,5,张家口,中国,河北
4862165151123807,元芳有看法,7512442867,m,2023-01-26 14:19:29,"#中国乒乓撤档#信心满满的《中国乒乓》，最终还是无法摆脱春节档被吊打的尴尬局面。1月25日晚，电影中国乒乓官博发布公告称，因宣传发行团队在决策、筹备、推进工作中存在重大失误和严重不足，致使影片在春节档陷入特别被动的局面。为了能让影片被更多的观众看到，经片方决定，电影从初五开始调整为小规模放映，并于2月17日“绝地反击”。

作为春节档的七部影片之一的《中国乒乓》，从题材内容到制作团队，再到演员阵容，都具备热映的条件，所以在春节档来临之前，邓超都表现出了超常的自信心，相信能够和《流浪地球》《满江红》《无名》等影片分一杯羹，但显然，邓超属实想多了，没曾想从开画到现在，春节档都要结束了，影片破亿还难度重重。

退出春节档，选择在2月17日“绝地反击”，《中国乒乓》把希望留在了23天之后，不过可以确定的是，即便放在2月17日，《中国乒乓》的最终结局还是全面溃败，这个基本可以断言。没有哪一部电影，在头炮没有打响之后，还能绝地反击。春节档这么好的机会都起不来，更何况平时。这和排片没有多大关系，关键还是影片缺乏吸引力。

说实话，电影市场应该摒弃和禁止这种随意变更放映时间的行为发生，不能你一看市场对我不利，就另选时机上映，这既是对其它影片的不公，也是一种被人耻的投机行为。大屏幕，不能尽让你们在那玩儿了。#吴京手滑了#",1,1,0,青岛,中国,山东
4862078928552351,sssgenius,2392010655,m,2023-01-26 08:36:52,#中国乒乓撤档#刚准备去看的，早安啊,29,25,0,抚州,中国,江西
4862137375133469,独行侠H,1483258537,m,2023-01-26 12:29:07,"#邓超俞白眉回应中国乒乓排片少#
哈哈，刚刚想去看就撤了邓超#中国乒乓撤档# #中国乒乓#",10,4,1,南宁,中国,广西
4862162008540519,三铜钱先生,5834456914,m,2023-01-26 14:07:00,"邓超的8字来看，要到2024年下半年开始才会走好运，他的作品才会开花结果，今年随便他怎么整不会顺，还特别招小人，所以今年他就得认栽，还是消停一点比较好。不要再调宣传了，只会给自己招黑。本来说好了，满江红，流浪地球，还是他的中国乒乓都是同时上映，最后还是有小人作梗，硬是将他的中国乒乓调整到了初三再放，这时市场已经被满江红，流浪地球垄断了80%了。中国乒乓的排片量自然就少了，院线本就现实，谁的电影火爆就放谁的。
#盗取天机# #中国乒乓撤档# 三铜钱佛教语录",5,1,0,海口,中国,海南
4862158598832269,梅八叉,1201232045,f,2023-01-26 13:53:26,"#中国乒乓撤档#幸好昨天去看了。
放在春节档真的可惜了，故事完成度很高。值得一看。",18,3,0,杭州,中国,浙江
4862155025025207,李好宽同学,1660526995,m,2023-01-26 13:39:15,"#中国乒乓撤档#
希望什么时候拍一下中国足球题材类的电影，一定支持！",28,19,13,泰州,中国,江苏
4862151737477026,八哥爱看球,3420174470,m,2023-01-26 13:26:11,#满江红 龙门镖局##吴京 手滑了# 年年各种贺岁大片宣发打的火热，但特么每次好像都能看见熊出没像一股清流般闷声发大财#中国乒乓撤档#,127,20,1,宣城,中国,安徽
4862151191433064,吉林台郝峰,1662407481,m,2023-01-26 13:24:01,被誉为中国乒乓历史里程碑 1995年世乒赛发生了什么网页链接#电影中国乒乓之绝地反击##许魏洲电影中国乒乓##中国乒乓撤档#,2,0,0,长春,中国,吉林
