wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4858442487957062,楊培安RogerYang,1656409327,m,2023-01-16 07:46:57,"#假唱#
#你如何看待假唱#

這…還算是個能上熱搜的標題嗎？

現在還存不存在「假唱」這件事？
當然有！

不管官方再怎麼三申五令
就是有！
（連官方晚會自己都假唱了…）

不好意思…我一向有話直說…

怎麼看待假唱？分二個看法。

我可以接受其他人假唱。
尤其是演員、主持人等本業非歌手的。
我個人覺得這是可以被接受的。

我也能接受半假場（墊音）。
畢竟重大晚會或直播，主辦方可能有他們的要求
歌手不見得能「如願以償」。

我不能接受的：
是我楊培安自己假唱。在任何狀況下。
以及有人明明假唱，卻死不承認。

事實是什麼就是什麼。
騙得了所有人，別連自己跟老天爺都騙了。 台湾·台北",46946,2903,413
4858429304209999,是妳的小祖宗呀,6323630143,f,2023-01-16 06:54:34,#假唱#造谣的人永远看不到澄清，因为他们只看到他们想看到的。不知道说什么了，那就祝所有善良的人新年快乐，大过年还恰烂💰的过不了好年#你如何看待假唱# Ysoseek的微博视频,13423,513,569
4858471792509080,扒圈小记,5665478463,f,2023-01-16 09:43:23,歌手杨培安发文说：“有些人明明假唱，却不承认”，被质疑内涵王一博。 在杨培安评论区被王一博粉丝占领之后，他连忙在评论区回应：“没有针对哪一位歌手”。 大家觉得王一博到底有没有假唱？ #假唱##汪涵 多给我们家一博机会#,10403,345,13
4858287054656499,说给玫瑰开荒中,6786768819,f,2023-01-15 21:29:19,#假唱#要不是看了粉丝直拍我还真以为黑说的是真的呢。 别狗叫了，一起感谢拉高湖南卫视收视率，带湖南卫视登顶的男人吧 FLUOXETINE·王一博的微博视频,121907,6286,11819
4858446760903232,追剧综的李二狗,2151481347,m,2023-01-16 08:03:56,"#杨培安说不能接受自己假唱#
针对假唱现象，歌手杨培安发文说“我不能接受的是‘我杨培安自己假唱，任何情况下都不行。以及明明有人假唱，却死不承认”。
你怎么评价杨培安对假唱的态度？
杨培安有很多脍炙人口的作品，
比如《我相信》：我相信我就是我，我相信明天
《爱上你是一个错》：为你我付出这么的多，却让我痛到有苦不能说。因为我爱你就像那飞蛾扑向火。
你最喜欢哪一首？
#假唱#",3136,254,70
4858472917894472,我的啵塞東,7500764512,m,2023-01-16 09:47:52,#假唱# 真的没完了是吧 小黑子故意音画不同步尬黑 没有判断力的人才会跟着上当哟 三十年后保健品受众群体🈶️ 实在想看就来看看粉丝拍的现场 听完觉得还不过瘾那就大年初一再来电影院里听听 我的啵塞東的微博视频,21841,750,1983
4858475023437678,叫我姨太好了,5751949769,f,2023-01-16 09:56:14,"歌手杨培安发文谈自己对假唱的看法：“我不能接受我杨培安假唱，也不能接受有人明明假唱，却死不承认。”

王一博粉丝在评论区喊冤，另外说明昨天晚上的画面“被恶剪”。

杨培安解释：“我是对假唱这件事发表看法，没有针对个人的意思。为什么要帮自己支持的人的对号入座？”

#假唱# #你如何看待假唱#",9774,336,6
4858459537015327,酒亓八五,1774751607,f,2023-01-16 08:54:42,"#汪涵 多给我们家一博机会#
现在的风气真恶心
万家盼你倒 找各种角度黑 拉低你路人缘
一条只有一个媒体发布的词条 能挂在热搜一整晚 现在还在“沸”，（真正需要上热搜的事从来都是被秒撤的）
粉丝不能发言 说话就是在洗白 不说话是默认
然后一群人在词条对一个人辱骂拉踩和诋毁 并且还要嘲笑粉丝 享受一种一呼百应的感觉 以此获得自己内心的满足感
我如果不喜欢某个东西 我一定碰都不会碰 不知道又要看又要骂的人 到底是出于什么心理 可能现实生活里真的过得不太好吧
#假唱#",12162,508,469
4858470967018355,野生炸姐,6354913856,f,2023-01-16 09:40:07,杨培安发文说自己讨厌假唱却死不承认的人 评论区有人问他：“你是谁” 拜托！！！他是《我相信》的原唱啊！！不会有人在学校没有听过吧…… #假唱##你如何看待假唱#,3615,165,7
4858294172131691,禁止洗糖,1803090453,f,2023-01-15 21:57:36,#假唱# 我的录频和黑子的怎么不一样啊，是不是直播有延迟呢，不如看看站姐直拍 ，最后大年初一，电影院《无名》与大家不见不散禁止洗糖的微博视频,56090,2988,4897
