wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4889306643302452,国产剧研究中心,2975141537,f,2023-04-11 11:50:05,#初代跑男重聚#今夕是何年！！！初代跑男最新合影，满满的都是回忆～真的好怀念初代的跑男，是谁狠狠梦回了🙊,83890,2111,1790,北京,中国,北京
4889435928269304,邓超,5187664653,m,2023-04-11 20:23:49,we are 伐木累 ！,212493,8928,9945,南昌,中国,江西
4889416819282159,优酷,1642904381,m,2023-04-11 19:07:53,#初代跑男重聚# 酷青回系列+1看大家都在含泪梦回，👖秉持着做好事不留名的做事风格，🚪直接给大家打开一键传送门：奔跑吧兄弟官方的优酷视频 今日份下饭综艺，就是你了：奔跑吧兄弟🏃🏻♀️#上优酷看奔跑吧#,3922,168,198,上海,中国,上海
4889446140872878,娜娜酱就是我,1790955411,f,2023-04-11 21:04:24,#初代跑男重聚# 喜欢你在跑男中的率真，可爱，你总是特别认真的去做游戏，我喜欢你的认真，但也心疼你受的伤Sweet苏璃儿的微博视频,765,38,27,上海,中国,上海
4889429960035857,爱鼻小杰,6005658071,f,2023-04-11 20:00:06,angelababy#初代跑男重聚# 从14年奔跑吧兄弟开始就看跑男，见证了跑男的兄弟情，更因为里面有我最爱的女孩Angelababy，从古灵精怪的美少女变成照顾别人的大姐姐，见证你的成长和青春，之后的路一直陪着你 爱鼻小杰的微博视频,2647,111,100,大连,中国,辽宁
4889423525450636,美颜滤镜粉碎机·真实很美好,3290016493,f,2023-04-11 19:34:32,邓超、 angelababy、李晨、陈赫、王宝强、王祖蓝、郑恺 初代跑男发布会生图 #初代跑男重聚#,10321,277,171,舟山,中国,浙江
4889423596754353,爱奇艺,1731986465,m,2023-04-11 19:34:49,是谁的青春回来了 #初代跑男重聚# 回忆满满～距离第一季《奔跑吧兄弟》@邓超 @angelababy @李晨 @陈赫 @郑恺 @王宝强 @王祖藍 已经过去了快十年，那些欢笑与感动你还记得吗？快来@爱奇艺 重温一下吧 #桃桃奇见店# #邓超晒跑男合照说weare伐木累# 奔跑吧兄弟之白蛇传说 陈赫贪吃坑惨队友,732,48,121,北京,中国,北京
4889419800118569,鲨鱼与鱼,2291350883,m,2023-04-11 19:19:44,#初代跑男重聚# 初代跑男最大的赢家绝对是“捡漏王”王祖蓝。 鲨鱼与鱼的微博视频,316,64,3,郑州,中国,河南
4889452410835867,在下姜磊,1827363695,m,2023-04-11 21:29:19,#初代跑男重聚# 十年前我追跑男，现在10后的儿子唯一在追的综艺也是跑男，偶尔也跟着看，还是觉得有意思。,247,106,101,北京,中国,北京
4889478759455444,汐甜,5953181327,f,2023-04-11 23:14:01,"#初代跑男重聚#
爷青回啊 以前特别喜欢看",0,0,0,海口,中国,海南
4889478751060231,雪芙葡挞_,6690033086,f,2023-04-11 23:13:58,#初代跑男重聚#天哪爷青回呜呜呜呜呜呜呜呜呜居然还有这一天,0,0,0,北京,中国,北京
4889478735070131,栩沫NVM琼,7271841713,f,2023-04-11 23:13:55,#初代跑男重聚#现在看到有很多人还存着以前跑男的图片，我真的泪目，多少人的青春啊,0,0,0,十堰,中国,湖北
4889478701776993,甜甜不爱玫瑰,7098797716,f,2023-04-11 23:13:46,"#初代跑男重聚#
初代跑男
是我的青春
是我的快乐
是我的回忆
是我的时光盒子
是我一遍又一遍看
是我日日夜夜的思念着
是提起we are 伐木累时的感动
是那个温暖团结勇敢无私奉献的大家庭
是那个经过层层挑战而继续奔跑的大家庭
是那个为了团队而奋斗的大家庭
是那个让我们感动不止的大家庭
是我热血沸腾的青春
是我不可磨灭的青春
想念你们大家庭",1,0,0,汕头,中国,广东
4889478676091331,亦然然燃燃,2673266955,f,2023-04-11 23:13:41,"#初代跑男重聚#当年一期不落 现在一期不看
虽然越做越烂 但终究是我追得最久的综艺 给我的学生时代增添了一抹亮色 怎么可能不怀念",0,0,0,长沙,中国,湖南
4889478675563426,猫鱼鱼丸,7406794196,f,2023-04-11 23:13:41,#初代跑男重聚# 我天呢 谁的童年,0,0,0,南京,中国,江苏
4889478651186835,太阳投研札记,2352596821,m,2023-04-11 23:13:35,#初代跑男重聚#你说我是你的超级英雄,0,0,0,上海,中国,上海
