wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4902712208789227,央视网,3266943013,m,2023-05-18 11:39:01,【#北斗家族好事成双# 今天你“北斗”了吗？】#北斗是怎样改变我们生活的# 5月17日，北斗“家族”再添“新星”！今天，《2023中国卫星导航与位置服务产业发展白皮书》正式发布，北斗“家族”好事成双！白皮书显示，2022年我国卫星导航与位置服务产业总体产值达到5007亿元人民币，国内卫星导航定位终端产品总销量超3.76亿台。这么多用到北斗的终端产品在哪里呢？戳↓↓ #北斗为梦想导航# 央视网的微博视频,781,30,163,北京,中国,北京
4902531355119934,棉花絮飞,5296350094,m,2023-05-17 23:40:22,"中国是目前全球唯一掌握拦截高超音速导弹技术的国家，美国已经彻底落后，他们甚至还不会高超音速导弹，根本无法对中国产生震撼力。

中国唯一的软肋，现在有了北斗卫星导航，将不用担心白左集团控制的谷歌等使坏

看到40年前就有的爱国者导弹在乌克兰发射32枚防空导弹拦截一事无成，最后弹尽被炸，不得不承认中国军队的强大，house连续两场演出侮辱人民军队是不可接受的

#北斗为梦想导航# 】#house连续两场演出侮辱人民军队#",981,238,59,杭州,中国,浙江
4902672584411806,AIMIKKKK,2786616510,m,2023-05-18 09:01:34,#北斗为梦想导航# 星辰大海，纵横相依。摇摇星光，向你而来。—— 华为工程师在经过15个月反复验证后发出的第一条北斗卫星消息。,75,11,18,北京,中国,北京
4902649918390275,合肥消防,3334017434,f,2023-05-18 07:31:29,肥小消 周四愉快 早安呐 #北斗为梦想导航#,34,62,2,合肥,中国,安徽
4902512984073136,德肖恩_沃特森DW4,2541959385,m,2023-05-17 22:27:22,突然发现，北斗居然上热搜了，作为参与北斗产业落地推广的一份子，我骄傲。#北斗为梦想导航#,297,21,3,北京,中国,北京
4902734623409606,种花家的菌事兔,6096067091,m,2023-05-18 13:08:05,#北斗为梦想导航# 于高山之巅，方见大河奔涌；于群峰之上，更觉长风浩荡。中国的北斗，中国的智慧！,296,27,15,临沂,中国,山东
4902646492692659,翠屏公安,2011990062,m,2023-05-18 07:17:53,早安 周四加油吧！接续奋斗！#北斗为梦想导航# 脚踏实地才是王道，侥幸只会被害。#笑果承认存在侥幸心理# #早安#,96,486,0,宜宾,中国,四川
4902649050956970,成都都江堰交警,1682532942,m,2023-05-18 07:28:03,#早安# 早安～ 早安#北斗为梦想导航#,537,167,0,,中国,海南
4902850645200235,生态日照,3460096640,m,2023-05-18 20:49:07,【#北斗家族好事成双# 今天你“北斗”了吗？】#北斗是怎样改变我们生活的# 5月17日，北斗“家族”再添“新星”！今天，《2023中国卫星导航与位置服务产业发展白皮书》正式发布，北斗“家族”好事成双！白皮书显示，2022年我国卫星导航与位置服务产业总体产值达到5007亿元人民币，国内卫星导航定位终端产品总销量超3.76亿台。这么多用到北斗的终端产品在哪里呢？戳↓↓ #北斗为梦想导航# 央视网的微博视频,0,0,0,日照,中国,山东
4902821789436622,太原铁路,1918830794,f,2023-05-18 18:54:27,#铁道线上繁星点点# 回顾自己一天的努力，让我们感到无比自豪和骄傲。我们是青春最美的拼搏者，因为我们竭尽全力去追求我们的梦想和目标。明天，我们将继续努力，迎接新的挑战和机遇。（视频：田国伟 郭建宏）#晚安# 铁粉！晚安 #北斗为梦想导航# 太原铁路的微博视频,24,20,13,大同,中国,山西
4902494331474081,焦磊jl05,7398517026,f,2023-05-17 21:13:15,當我變成一顆星星 對你輕聲歌 像流星不懼怕墜落照亮你的銀河 這未來會比你想像的更好啊 鋪滿荊棘的路 開滿了鮮花看啊 #北斗为梦想导航##有北斗的地方就有方向# 焦磊·养乐多·的微博视频,310,11,7,沈阳,中国,辽宁
4902848854229408,国资小新,2752396553,m,2023-05-18 20:42:00,【中国星辰｜#北斗为梦想导航# 】自古以来，我们仰望星辰，#有北斗的地方就有方向# 。穿梭千年，我们经纬时空。从北斗七星到北斗卫星导航，我们让“中国星座”闪耀全球。有“北斗”的地方，就有梦想；有“北斗”的地方，成就梦想。中国航天，征途如虹。北斗，为梦想导航！央视网的微博视频,5,1,0,北京,中国,北京
4902846086254418,珠海市妇联,2730729870,f,2023-05-18 20:31:00,"#一起悦读# 【“学生法官”来断案，模拟法庭走进斗门校园……】近日，一声清脆的法槌声在斗门区城东中学校园响起，一场别开生面的“模拟法庭”庭审正在进行。这场模拟庭审以一起学生早恋引发的校园欺凌，导致过失伤人案件为剧本。

在法院干警的指导下，学生们纷纷化身“法官”“审判员”“书记员”“被告”等角色，体验从宣布法庭纪律、法庭调查到法庭辩论等庭审全过程。在“法官”的主持下，庭审过程张弛有度、细致入微，双方当事人唇枪舌剑、据理力争，演绎逼真。

活动通过“线下模拟法庭+线上直播观摩”的方式，为城东中学3000多名师生呈现一场别样的法治教育课。指导老师王剑梅表示，模拟法庭不仅模式新颖，教育意义也很深刻，让学生更直观地感受到法律的威严，树立正确的人生观。

校园模拟法庭是一种新颖的普法教育形式，通过让学生演绎庭审中的各种角色，真实再现法庭的审判过程，用润物细无声的方式让学生接受法治教育。（观海融媒）#北斗为梦想导航#",0,0,0,珠海,中国,广东
4902844141147985,滁州公安在线,2553770907,m,2023-05-18 20:23:16,#北斗为梦想导航##晚安# 晚安,2,6,0,滁州,中国,安徽
4902843716214343,笑意常在的居家龙wxcz,6996880252,f,2023-05-18 20:21:35,#北斗为梦想导航# 我说怎么走散了 原来是起风了,0,0,0,济宁,中国,山东
4902843708084491,揭西随礼汇,2409109841,m,2023-05-18 20:21:33,"#北斗为梦想导航#北斗卫星导航系统是中国自主研发的卫星导航系统，它由多颗卫星组成，可以为全球用户提供高精度、高可靠的定位、导航和时分服务。北斗卫星导航系统的建设和发展，不仅是中国航天事业的重要成果，也是中国科技创新的重要标志之一。

北斗卫星导航系统的核心技术包括卫星设计、制造、发射、控制和运营等方面，其中最核心的技术是高精度导航技术。北斗卫星导航系统采用双频段、全天候、全球覆盖的导航模式，可以实现米级甚至厘米级的精度定位，同时还具备高速、高可靠、高安全等特点。

北斗卫星导航系统的应用领域非常广泛，包括交通运输、海洋渔业、航空航天、军事防御、公共安全等多个领域。例如，在交通运输领域，北斗卫星导航系统可以为车辆提供精准的定位和导航服务，提高交通运输的安全性和效率；在海洋渔业领域，北斗卫星导航系统可以为渔船提供精准的海上定位和导航服务，提高渔业资源的开发利用效率。

总之，北斗卫星导航系统的建设和发展，为中国科技创新和国家安全作出了重要贡献，也为全球用户提供了更加精准、高效的定位和导航服务。",0,0,0,揭阳,中国,广东
4902842387663818,四川警察学院,3918369596,f,2023-05-18 20:16:18,四川警察学院#北斗为梦想导航#北斗承载着千万中国人的希望，大家一起来谈谈北斗卫星定位系统对我们生活的改变吧。 #夜话川警院#,0,1,0,泸州,中国,四川
4902748958492608,威海日报,1960433983,f,2023-05-18 14:05:03,#全国文明城市创建暨国家卫生城市复审# 【社区有支“啄木鸟”服务队——我们的创建故事⑦】 5月10日，南海新区滨海社区工作人员在检查蔚蓝水岸小区内部环境卫生时，和社区的志愿服务队碰了头。这支服务队是社区内居民自发成立的。#北斗为梦想导航# 社区有支“啄木鸟”服务队——我们的创建故事⑦,18,12,17,威海,中国,山东
4902732332800434,新防线14653,6560857526,m,2023-05-18 12:58:59,中国 《五小》飞天说 梦想，天上北斗， 祝福，人间北斗， 期待，导航北斗！ 光辉的北斗， 再上一层楼 #北斗为梦想导航# 新防线14653的微博视频,72,35,4,内江,中国,四川
4902642129568785,深凌小熊,7787285852,f,2023-05-18 07:00:33,"早安#早安心语##早上好,加油# 没有一件事情可以让你一步登天，更没有一件事情可以将你彻底打垮。慢慢走，别放弃，总有一天会走到柳暗花明。早安加油！ #北斗为梦想导航#",84,125,0,,中国,台湾
4902811165005971,AIMIKKKK,2786616510,m,2023-05-18 18:12:14,#北斗为梦想导航# 央视新闻北斗专题报道，用 Mate50 Pro 展示了如何发送北斗卫星消息。华为旗舰手机现在全面支持北斗卫星消息功能，无北斗，不旗舰！ AIMIKKKK的微博视频,17,1,0,北京,中国,北京
4902811060142908,徐雲妮2013,1617162965,f,2023-05-18 18:11:48,#北斗为梦想导航#盛一伦#电视剧理想照耀中国# 在电视剧《理想照耀中国》里初次认识研发北斗导航的一些知识，盛一伦出演在学的科硏人员余有维，经过多次失敗才成功研发北斗导航的雛形！记忆猶新，好棒！@盛一伦 [鮮花] 徐雲妮2013的微博视频,2,2,0,,中国,澳门
4902810493392758,首都新闻出版官微,6969249055,m,2023-05-18 18:09:34,"#好书推荐#【《芯片战争》：世界最关键技术的争夺战】是一本介绍技术发展的史书，也是一本可以转变观念认识的书，但是这取决于你选择相信什么样的逻辑，用什么样的理论来认识这个世界。

众所周知，现代社会已经完全离不开芯片。每天都用到的手机里，至少需要十几个芯片才能工作，这些芯片要分别管理电池、主板、摄像头等等。另外电脑、汽车、互联网、军事装备等各个领域，芯片无处不在，不用多说。

通过《芯片战争》这本书，你可以了解一下我国的半导体和芯片发展的历史概况。也许你会和我一样，阅读之后扼腕叹息。 #北斗为梦想导航#",0,0,0,北京,中国,北京
4902804528825382,微观园,5234797581,m,2023-05-18 17:45:52,#北斗为梦想导航#十年前，谈到GPS定位，我们无不叹服。十年后，北斗发力，已经不输GPS。科技让我们生活更美好，科学家是一群埋头苦干的人，总在我们不知不觉时推动科技前行。感恩！,0,0,0,武汉,中国,湖北
4902790603739256,IM智己汽车,7545341480,m,2023-05-18 16:50:32,#北斗为梦想导航# 昔有指南之针，今有北斗导航，这是中国智慧遥隔时空的接力。#智己汽车#同样以“智”为梦想，砥砺前行。智舱布局，智舱交互，智能驾控，为智能出行实现更多可能。智己,291,31,10,上海,中国,上海
4902785969559718,90于江,2404926243,m,2023-05-18 16:32:07,#北斗为梦想导航#我骄傲，突然发现北斗上热搜了，中国加油,0,0,0,呼和浩特,中国,内蒙古
4902759646890122,Tineco添可,3037270881,m,2023-05-18 14:47:31,有北斗的地方，就有方向。中国航天，征途如虹！我们一起为中国先进科技，为更美好的生活，贡献更多力量#北斗为梦想导航##全能空间站都在这一站#,33,4,11,苏州,中国,江苏
4902716142523776,集原美,7361240977,f,2023-05-18 11:54:39,#北斗为梦想导航##超元星计划#集原美 第56颗北斗导航卫星发射成功！ 今天，主打一个高兴。,21,17,0,北京,中国,北京
4902779388956816,中国黔南,5109010241,m,2023-05-18 16:05:58,【中国星辰｜中国北斗闪耀全球】#北斗为梦想导航# 北斗星，自古为中华民族定方向、辨四季、定时辰。昔有指南之针，今有北斗导航，这是中国智慧遥隔时空的接力。一起重温殷切鼓励，从新时代北斗精神中领悟实现高水平科技自立自强的力量↓（中央广播电视总台央视网）,3,0,0,黔南布依族苗族自治州,中国,贵州
