wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4888919302996475,相信篮球,2205169727,m,2023-04-10 10:10:55,"赛后，有一段据称森林狼工作人员在后台录到的音频流出～当时的李凯尔正在回更衣室的路上，他说道：你们丫的太宠着他了，还让我保持专注？你们是不是有毛病？你们这个夏天有决定要做了。

目前，戈贝尔已经更新社媒道歉：我今天情绪失控了。不管别人说了什么，我都不应该做出那样的反应。我想向球迷道歉，向球队道歉，尤其是向凯尔道歉，他是我真正热爱和尊重的队友#森林狼内讧##戈贝尔道歉#微观篮球的微博视频",760,143,45,福州,中国,福建
4888912499575176,虎扑的步行街,2054300185,m,2023-04-10 09:43:54,戈贝尔：我想向球迷、球队尤其是李凯尔道歉，我情绪失控了 JRs热议：[流言板]戈贝尔：我想向球迷、球队尤其是李凯尔道歉，我情绪失控了 #戈贝尔道歉#,120,15,4,衢州,中国,浙江
4888981130972924,导演我躺哪_basketball,1703738945,m,2023-04-10 14:16:37,森林狼总裁：冲突后我们让戈贝尔回家，其行为是不能接受的 #戈贝尔道歉##森林狼内讧#,47,4,2,福州,中国,福建
4888902777438838,隆多吧,2431485513,m,2023-04-10 09:05:16,Woj：消息人士透露，森林狼内部正在权衡是否禁止戈贝尔前往洛杉矶参加附加赛 #戈贝尔道歉#,1022,126,2,,中国,广东
4888914152130942,虎扑篮球,1642292081,f,2023-04-10 09:50:28,"#森林狼内讧#全过程

1、根据ESPN报道，多位消息人士透露，该冲突的起因在于李凯尔告诉戈贝尔尝试进行盖帽，戈贝尔回应并告诉李凯尔尝试抢篮板。随后，李凯尔对戈贝尔说道：“闭上你的臭嘴，B****。”

2、ESPN记者在节目中透露了森林狼球员鲁迪-戈贝尔和凯尔-安德森导致冲突的对话内容。

“嘿，为什么你不盖掉一些投篮？”安德森对戈贝尔说道。

“为什么你不抢篮板？”戈贝尔反问道。

3、Shams Charania报道称，双方回到更衣室后冲突还在继续。消息人士透露，李凯尔一度表示“我会打爆你的（I’ll knock your a– out.）！”

消息人士透露，康利在这劝两人冷静之中扮演了关键作用。

4、赛后，一段李凯尔在冲突后的录音流出。

录音中，李凯尔说道：“你们对他也太好了吧，也太舔他了吧。

你们TMD还让我保持专注，你们TMD是不是有毛病？

今年夏天你们好自为之吧，你们有事儿要做了！”

5、赛后，戈贝尔：我想向球迷、球队尤其是李凯尔道歉，我情绪失控了

李凯尔：我和戈贝尔不会过多计较冲突，我们都是成年人

康利：戈贝尔已在球队群聊中发送信息，对今日冲突道歉

森林狼总裁：冲突后我们让戈贝尔回家，其行为是不能接受的

怎么看戈贝尔和安德森的冲突？爱德华兹：我不作评论

名记：森林狼管理层正在权衡是否让戈贝尔出战对湖人附加赛

#戈贝尔道歉# #戈贝尔拳打安德森#",326,88,17,上海,中国,上海
4888921022922995,Tinoke不是tinker,2262972190,m,2023-04-10 10:17:45,华子：那一刻，我感觉我自己慌急了#戈贝尔道歉##李凯尔#,46,12,0,北京,中国,北京
4888986823432100,洛译篮球,2305162912,f,2023-04-10 14:39:14,戈贝尔最著名的三大事件： —— 手抹话筒、NBA新冠第一人 —— 扬言可以锁死奥尼尔 —— 拳打队友安德森 #森林狼内讧##戈贝尔道歉#,77,17,3,泉州,中国,福建
4888909021972648,直播吧,2018499075,m,2023-04-10 09:30:05,"#戈贝尔道歉# 我今天情绪失控了，向球迷/球队/尤其是安德森道歉

NBA常规赛收官战中，戈贝尔和队友凯尔-安德森发生口角，给了后者一拳。戈贝尔赛后更新社媒：“我今天情绪失控了，不管别人说了什么，我都不应该做出那样的反应，我想向球迷道歉，向球队道歉，尤其是向凯尔（安德森）道歉，他是我真正热爱和尊重的队友。”

#森林狼内讧##戈贝尔拳击安德森#",90,16,1,北京,中国,北京
4888895509235172,新浪NBA,1736329970,m,2023-04-10 08:36:23,#戈贝尔向李凯尔道歉##戈贝尔道歉# 戈贝尔发推：我今天情绪失控了。不管别人说了什么，我都不应该做出那样的反应。我想向球迷道歉，向球队道歉，尤其是向凯尔@大锤凯尔安德森Anderson 道歉，他是我真正热爱和尊重的队友。 #戈贝尔拳打安德森#,188,29,3,北京,中国,北京
4888834775712177,水花Forever,5845710374,m,2023-04-10 04:35:03,隔壁这 戈贝尔给了铁锤一拳 #戈贝尔道歉#水花Forever的微博视频,211,17,4,苏州,中国,江苏
