wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4877526544942703,成都商报,1700648435,f,2023-03-09 23:40:11,#成都打雷#【#成都今年第一声春雷#，你听到了吗？⚡】成都市气象台2023年3月9日23时00分发布短时临近天气预报：目前我市温江、崇州、新津、天府新区和简阳等地出现雷电活动。预计未来6小时我市有分散雷阵雨，并伴有短时阵性大风，个别地方可能有冰雹，请注意防范。 成都商报的微博视频,13020,1129,309,成都,中国,四川
4877520077328717,胡萝卜吃兔兔,2127946391,f,2023-03-09 23:14:29,#成都打雷#？？？？？？为什么这都能上热搜？？？？？啊？？？,539,36,4,成都,中国,四川
4877528344824824,大强,2272673835,m,2023-03-09 23:47:20,#成都打雷#半小时的时间，刚从太古里喝完酒还是晴天，打车到家时候地已经湿了,382,116,48,成都,中国,四川
4877535840307649,嘤嘤嘤哭泣的小绵羊,2295281083,f,2023-03-10 00:17:07,#成都打雷# 笑疯了，今天成都春雷了正在下小雨，珍珠第一次在小雨里散步，不知道是什么，萨摩耶我真服了你了！快把我乖晕过去 嘤嘤嘤哭泣的小绵羊的微博视频,1920,126,86,,中国,四川
4877521360781722,Edwin埃德文,3197269764,m,2023-03-09 23:19:35,#成都打雷#笑死，成都打个雷都能上个热搜，还在第一。😂,1951,124,47,成都,中国,四川
4877520094368628,明德先生,1900117675,m,2023-03-09 23:14:33,#成都打雷# 为什么成都打个雷都能上热搜？ #寻美中国# ，成都成都， 于是我诗兴大发 成都成都 让我心头一颤的， 不止心头的你， 还有天空的雷。,108,31,6,北京,中国,北京
4877534443868569,风云梦远,3296569781,m,2023-03-10 00:11:34,"#成都打雷#

其实这次是比较常见的天气过程所致。

气象条件上，川西高原存在一个对流层中低层（约3000米高）的气旋式涡旋（图1黑圈），也常被称作西南涡。在它的引导下，暖湿气流从孟加拉湾-中南半岛浩荡北上（图2红箭头），与北侧高空冷平流（图2黑箭头）在四川盆地西部争锋形成的强烈对流云体，其间的冰晶、软雹等粒子剧烈碰撞摩擦积累了大量电荷，最终在击穿并电离空气后，极高温度下的发光形成了闪电，而急剧加热导致的空气膨胀又激荡出声波，这就是雷声。

从雷达分析看（图3-4），对流云团是自西南向东北移动，逐渐从四川盆地南部影响成都。而在冷暖交锋的情形下，气温随高度变化而明显变化，此时声波会在特定情形下出现折射、反射或局地汇聚，加之夜间周边环境较为安静，可能让部分区域听到的雷声相当有振聋发聩之感。

不过按照成都国家气象站（位于温江）的观测记录，平均每年的第一声雷在3月下旬，今年有所偏早，但也正是漂泊万里的冷暖，在蜀水之上遥应惊蛰时节，将夜空编织成电光雷鸣之舞；而西南涡也将进一步走出四川盆地，与即将气吞万里的寒潮一道，为更辽阔山川带来骤雨惊雷。",158,24,25,上海,中国,上海
4877518438666067,歌木木朵,3936539605,f,2023-03-09 23:07:58,成都现在一直打雷，感觉像在我脑袋上突然炸开的那种，吓人问题是我看天气预报也没见着有雨啊 （笑晕，#成都打雷# 竟然都能热搜第一）,240,64,2,成都,中国,四川
4877522372658080,成都吃土青年,2258116103,m,2023-03-09 23:23:35,#成都打雷#直接热1了，为什么成都打雷都要上个热搜？第一，微博成都区域的活跃用户是真的多多多多啊；其次呢，成都人的P话也是多多多多啊哦对了，看天气预报，周末可能会降温，还有大风…#成都人莫慌收厚衣服哈#穿厚点，莫整感冒了哈成都吃土青年的微博视频 成都,55,33,14,巴中,中国,四川
4877522237919668,-逆光飞行-,1890872744,m,2023-03-09 23:23:04,#成都打雷# 居然有人怕打雷，哼！弱鸡,51,14,2,成都,中国,四川
4877645206258123,科技调查君,1933238867,m,2023-03-10 07:31:41,#成都打雷# 太逗了，成都打个雷都能上个热搜…… 怎么了难道大家都怕打雷，还是去年疫情都隔离在家不怕打雷吗？,76,43,34,张家口,中国,河北
