wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4860277134986677,阿阳同学,5864124825,m,2023-01-21 09:17:11,"“新年快乐用古文怎么说”，一些很有文采的新年文案！
#新年祝福##新年文案#",196,5,49,新乡,中国,河南
4860281391680378,被兔蛊了,7534922817,m,2023-01-21 09:34:06,"新年愿你前程似锦，
每一天都神气！
[团圆兔][团圆兔][团圆兔] 被兔蛊了的微博视频
#新年祝福#
#贺峻霖追着宋亚轩打#
@时代少年团-贺峻霖",1782,520,142,温州,中国,浙江
4860289423513029,刘珂矣,2080389812,f,2023-01-21 10:06:01,"珂矣给大家拜年啦~[年年有余]
祝大家新春安乐，和顺安康[2023][团圆兔]

#除夕快乐# #福兔# #新年祝福#
刘珂矣 刘珂矣的微博视频",84,35,10,,中国,中国
4860280787437785,长沙校园,1986888471,m,2023-01-21 09:31:42,#湖南高校共度除夕#[团圆兔]福兔迎新，岁喜安康！沙沙来送福啦~祝大家2023兔年新春快乐～#除夕#[鞭炮声声]#新年祝福#（湖南工业大学团委） 长沙校园的微博视频,99,37,8,岳阳,中国,湖南
4860094473049946,大睿睿,2395815807,f,2023-01-20 21:11:21,"好吃的嘞！回购N+1次的零食合集
和马甲一起拍摄的「过年宅家解馋零食大合集」
内容精彩 老少皆宜 童叟无欺 速看！
#新年祝福##团年不易##零食分享# 大睿睿的微博视频",2846,191,69,安庆,中国,安徽
4860284096746354,咪游记,1602096204,m,2023-01-21 09:44:51,又是一年#除夕#，对头头来说，寅年是大猫年，卯年还是猫年，听上去差不多嘛但你知不知道越南人就是把兔年当猫年来庆祝呢？越南邻居还来问头头的中式衣服哪里买的，要为家里的猫咪们庆祝猫年呢#新年祝福# 祝大家新春快乐，阖家团圆，健康平安#春节#萌宠那些事,19,9,1,,美国,美国
4860061425866105,塔莎先生,3255081752,m,2023-01-20 19:00:02,"兔年快乐！提前给大家拜年啦~感谢这一年花友们对塔莎的支持，2023年我们一起加油！
#新年祝福# 塔莎的花园 塔莎先生的微博视频",114,17,12,嘉兴,中国,浙江
4859880249230531,小句只,3009609487,f,2023-01-20 07:00:06,"✎『值得置顶の春节祝福短句文案』🐰

❶(⺣◡⺣)♡ 祝你兔年发大财 人见人爱

❷🧨ღゝ◡╹)ノ♡虎尽甘来好运转 扬眉兔气笑颜展

❸Ⓗⓐⓟⓟⓨ ⓝⓔⓦ ⓨⓔⓐⓡ祝你万事如意 兔个吉利

❹˗ˋˏᰔᩚˎˊ˗ ʜᴀ͟ᴘ͟ᴘ͟ʏ ᴇᴠᴇʀʏᴅᴀʏ̆̈ 祝你兔然暴富 前兔无量 兔年大吉

❺ʜᴀᴘᴘʏ ᴇɴᴅɪɴɢ...🧨平安喜樂 諸事皆顺｜²⁰²³

❻ ₍ᐢ •͈ ༝ •͈ ᐢ₎♡ 祝你平安喜乐 富利四射~

❼新的一年 希望新冠永久缺席❣🧧🏮🧨

❽🐾祝你守福待兔 钱兔无忧 新的一年全力以富~

❾✎﹏ ʜᴀᴘᴘʏ ɴᴇᴡ ʏᴇᴀя ⑅ 祝你元气power 前兔似锦 大展宏兔

❶⓿(￣∀￣) 是新年 是新的开始 ²⁰²³愿所得皆所愿

❶❶·ʜᴀ͟ᴘ͟ᴘ͟ʏᴇᴠᴇʀʏᴅᴀʏ̆̈棒棒的𝐛𝐨𝐝𝐲 满满的𝐦𝐨𝐧𝐞𝐲 多多的𝐡𝐚𝐩𝐩𝐲 心情很𝐬𝐮𝐧𝐧𝐲

❶❷ 🅷🅰🅿🅿🆈新的一年 兔𝒃𝒆 𝒇𝒊𝒏𝒆

❶❸🧨顺顺当当 健健康康

❶❹🧨🧧🏮愿所念之人 平安喜乐 愿所想之事 顺心如意

❶❺💮愿新春以后 吉吉利利 百事都顺利

❶❻🏮ϩ0ϩӠ 兔个健康 钱兔似锦

搬运请备注来源@小句只

#日常文案##朋友圈可爱文案##短句文案##朋友圈文案##新年祝福##新年祝福文案##新年心祝福# 小句只的微博视频",341,11,174,北京,中国,北京
4859989389218734,艺术有毒,6440433613,f,2023-01-20 14:13:47,"开云集团特邀中国水墨艺术家彭薇贺禧癸卯新春

#开云##新年祝福##艺术#艺术有毒#艺术有毒# 艺术有毒的微博视频",24,27,4,成都,中国,四川
4860288773393676,在阳光下闪耀的军徽,1745681591,m,2023-01-21 10:03:26,"#新年祝福#
兔年即将到来，今天大家拜个早年，祝天下朋友身体健康，阖家幸福，兔年吉祥，皆得所愿！拜年啦！#福兔##新年快乐# 在阳光下闪耀的军徽的微博视频",82,24,51,常德,中国,湖南
