wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4860052806305277,春晚,3506728370,f,2023-01-20 18:25:47,2023年总台#春晚节目单# 官宣！虎辞旧岁，兔贺新春，《2023年春节联欢晚会》除夕之夜即将播出，我们一起看春晚过大年！#春晚#,359025,22134,98555
4860268535873679,央视网科技,1675509012,m,2023-01-21 08:43:01,【#吴磊说本命年能参加春晚是个好兆头#】2023年春节联欢晚会今晚将与大家见面。演员们都已经准备就绪，大家对今年春晚中的表演充满期待。中央广播电视总台《2023年春节联欢晚会》演员吴磊@吴磊LEO 说：“（我）24岁了本命年，今年还能参加春晚，感觉是个好兆头。今年的作品让我也感觉到非常紧张，因为我再一次挑战了自己。”#春晚节目单# #除夕# 小央视频的微博视频,553,86,65
4860068321040077,黄石PK,1639404737,m,2023-01-20 19:27:26,#春晚节目单#看了下节目单好像都还不错的样子，和以前的差不多又多了点新东西，有成龙打头阵赵文卓老师武演稳！有台湾朋友唱百鸟归巢脱口秀也有节目，沈腾马丽的小品快成以前黑土白云固定搭档了，吴磊白宇几个小生的舞台还有赵丽颖唐诗逸美人国色的节目都很期待其他的小品嘛…看过再说 #春晚没有贾玲张小斐# 啊…,111186,3367,277
4860255386994311,婉拒杨紫1106次,6108360390,m,2023-01-21 07:50:46,#春晚节目单# 杨紫五登春晚啦～期待杨紫的开场节目《花开种花家》和小品《马上到》，和@杨紫 一起祝大家新年快乐 婉拒杨紫1106次的微博视频,1134,118,54
4860082742100751,孟慧圆搞快点,2092112890,f,2023-01-20 20:24:43,妈妈 我上春晚了 妈妈 许愿是有用的 好运气都跑过来了。感恩感恩 #春晚节目单#,18336,2888,3710
4860091540446174,芒果妈妈,1218346612,f,2023-01-20 20:59:42,#赵晓卉出息了##春晚节目单# 厌班打工人代表——赵晓卉被派去春晚了,5154,85,187
4860259707389112,新浪热点,2318910945,m,2023-01-21 08:07:56,"#央视主持人透露春晚没有李谷一原因#【遗憾！今天春晚没有李谷一 央视主持人透露原因】1月20日晚间，央视春晚节目单发布。随后，今年春晚没有李谷一的话题登上每经热榜第二位。#春晚节目单#

李谷一领唱，《难忘今宵》在“共祝愿祖国好”的歌词里画上句号——对亿万观众而言，这是春晚不变的记忆。

1983年至今的40年春晚，只有两年没听到李谷一唱《难忘今宵》。一次是1983年，彼时，这首歌尚未诞生；另一次是2012年，《难忘今宵》没在春晚唱响。
但今年，李谷一要失约《难忘今宵》了。

《2023年春节联欢晚会》节目单揭晓，压轴歌曲《难忘今宵》的表演者少了“领唱：李谷一”的字样。

此前，央视主持人张泽群曾在微博上透露，由于刚刚“阳康”，身体抱恙的李谷一只能缺席兔年春晚。期盼龙年春晚，李谷一老师再度唱响《难忘今宵》。（每日经济新闻）",714,66,29
4860075270735000,收视率贡献专家,6094646365,f,2023-01-20 19:55:03,2023年#春晚节目单#正式公布，看完之后有没有你想看的节目呢？今年有沈腾马丽感觉快乐又多了一点点，不过今年#春晚没有贾玲张小斐#了，真的是很遗憾了，很想念春晚舞台上有贾玲张小斐的日子！ 收视率贡献专家的微博视频,24640,1068,522
4860279710814781,常春藤姥姥,1747036803,m,2023-01-21 09:27:25,#胡先煦现身央视春晚第二次大联排#发现胡先煦从春晚节目单里消失了啊，之前彩排还买了热搜的#春晚节目单#,347,50,2
4859956984283239,杨浩彦_,6544129259,m,2023-01-20 12:05:00,#杨紫王冰冰同框# 是亲粉发的 一点都不辛苦呢 还真的以为有#春晚节目单#了那先看看跨年的先吧@杨紫 杨浩彦_的微博视频,26995,2404,1920
4860264116127665,孙雨彤Lara,1653497524,f,2023-01-21 08:25:27,采访中遇到的有趣的人 #春晚节目单#,203,24,7
