wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4859663525613466,央视网,3266943013,m,2023-01-19 16:38:55,【#至今没阳过返乡过年感染风险是否更大#？能放心返乡过年吗？】#未感染人群怎么做好个人防护# 中国疾控中心传防处研究员常昭瑞介绍：人群对新冠病毒普遍易感。部分尚未感染的人，不排除在春节期间，受旅途疲劳、接触人员频繁等因素影响，感染风险增加。建议相关人员继续坚持做好个人防护，保持规律作息、合理膳食、适量运动等健康生活方式；外出时应落实戴口罩、勤洗手等个人防护措施。已感染过新冠病毒的公众，也应继续做好个人防护，防范流感等其他呼吸道传染病感染。#我国尚未监测到德尔塔克戎# 央视网的微博视频,8041,476,802
4859902977901408,央视网,3266943013,m,2023-01-20 08:30:25,【专家提示：#阳康后补充蛋白质别超过平时50%#】#阳康后营养补充四大建议# 新冠病毒感染者康复后，应该注重补充哪些营养物质？专家提示，①蛋白质的摄入要比日常有所增加，但不宜过度，增加量在20%、30%，最多不要超过平时的50%。②可以每天选择进食250毫升到500毫升的牛奶，同时进食一到两个煮鸡蛋。③保证每天150克到200克的瘦肉，白肉和红肉交替。④大概每天摄入50克到100克的豆腐及其制品。注意摄入蛋白质应均匀分布于早中晚三餐。尽量选择高蛋白低脂肪的食物，比如鸡蛋清，低脂或者脱脂的牛奶，清蒸鱼，猪的里脊肉等。#未感染人群怎么做好个人防护# 央视网的微博视频,183,29,126
4859910867126991,沈涛,1220562903,m,2023-01-20 09:01:46,看到#未感染人群怎么做好个人防护#这个话题，居然想到了去年九月洛杉矶机场的这个视频 沈涛的微博视频,284,34,58
4859925526743835,北京头条,1644948230,m,2023-01-20 10:00:01,【#挺进决赛圈男孩穿防护服坐火车#】1月18日，浙江杭州。一名13岁男孩穿防护服坐火车，准备回姥姥家过年。男孩表示，自己还没有“阳”，所以穿了防护服。网友：真“决赛圈选手”！#未感染人群怎么做好个人防护#杭州日报的微博视频,304,87,8
4859906895384289,风的节奏吹,1108242961,m,2023-01-20 08:45:59,"#未感染人群怎么做好个人防护#

现在杨康的人，下饭馆、泡温泉，看演唱会，哪里都自由，而未感染的人，为了进“决赛圈”，这个要小心，那个要提防。

虽然中国感染第一波高峰已经过去了（特别强调，不论在城市还是在农村），但新冠极低感染率将长期伴随，其和流感一样，目前不可能在地球上消失。

看到有旅客回乡穿上了大白。话说防一时，难不成永远这样？

人员聚集场所，戴个口罩足以。防护过度，身心疲惫哦。",144,17,12
4859933324216960,都市快报,1847582585,m,2023-01-20 10:31:00,【#春运途中如何降低传播风险# 】#德尔塔克戎是否会引发新的感染# “今年春运是疫情防控进入新阶段后第一个春运，客流量大幅回升。”交通运输部应急办副主任周旻介绍，为降低疫情传播风险，交通运输部制定工作方案，印发防控指南，部署各地做好春运疫情防控工作。与此同时，春运途中做好个人防护至关重要。北京儿童医院急诊科主任王荃特别提示，要注意做好儿童防护，规范佩戴口罩，避免孩子到处乱摸，尤其要杜绝摸了其他东西之后再摸眼、口、鼻等行为。#未感染人群怎么做好个人防护#,36,9,20
4859983516145663,草原900,1286891293,m,2023-01-20 13:50:27,#未感染人群怎么做好个人防护#远离都市，春节来到乡间田园小筑，过个春节，这里田园绿叶，空气清新，远离病毒，口罩也不用戴，没有比这里更好的防护加养生了。。 草原900的微博视频,24,9,13
4859910297224568,证券市场红周刊,1648948823,m,2023-01-20 08:59:30,"【疫情放开后的第一个春节，你回家了吗？】
近日，春运返乡潮已然拉开大幕，在我们踏上回家之路的同时，还有一些人依旧坚守在工作岗位。#疫情以来广大医务工作者作出了重大贡献# 对于医护人员来说，今年的春节依旧是一个忙碌的、有挑战的春节。为了给白衣天使们送新春温暖，@爱本牛初乳奶粉 近日为北京协和医学基金会、北京宣武医院、北京清华长庚医院、北京市密云区鼓楼社区卫生服务中心等医院送去了超百万元的牛初乳奶粉，#爱本捐百万牛初乳奶粉守护医护人员#，它拥有针对中国人体质开发出“1+3”自护力配方，还创新融入被称为“21世纪免疫之王”的牛初乳粉。白衣执甲守百姓，这个暖冬用爱本为他们送上一份暖心新春礼！#未感染人群怎么做好个人防护#
点时新闻的微博视频",92,56,58
4859888024947212,妇产科的陈大夫,2495784474,f,2023-01-20 07:31:00,"#未感染人群怎么做好个人防护# 这得分在路上和回乡后两种情况讨论。
在路上：
回乡时如果能自驾回家那是最好。如果不能，在公共交通工具上口罩肯定得戴好。
最近有专家说可以分场合摘口罩了，这里的场合肯定不包括公共交通工具上。
至于口罩的种类，倒不一定非得戴N95口罩。如果要戴N95口罩，一定要戴严实。否则还不如好好佩戴一个医用外科口罩来的有用。
至于手套，带不带都可以。重要的是勤洗手，在洗手之前，不要用脏手碰眼、口、鼻的粘膜。

回乡后：
最保险的防护方法就是不走亲戚。但这是不现实的。我们总要回归正常生活。
那只能退而求其次。如果有近期阳的亲戚，你俩就别接触了。走亲戚本来就劳累，对他来说也不是一件好事。转阴的容易复阳。阳的容易加重。还是待家好好休息比较好。
我们可以和已经阳康的亲戚和其他“阴险小人”一起愉快的玩耍嘛。
但是有一说一，如果家中有老人、孕妇、婴儿等免疫力低下的人或有基础病的人，最好还是别走亲戚了，风险有点大。同时还应该备好必要的药物、防护用品、指氧仪等。
#健康美好生活计划# #我的防护手册#

作者：妇产科的陈大夫
介绍：三甲专科医院妇产科医生、医学科普作者
版权说明：本文为原创科普，未经授权，禁止任何形式的发布与商业用途。",40,12,4
4859752918294559,木辛瞳,7623834762,f,2023-01-19 22:34:08,"我的一个67岁的伯父都没有感染新冠，他们两夫妻都没有阳，一直在家里，平时不怎么跟人接触，现在过年过节都不打算走动亲戚，因为他是大长辈，弟弟妹妹都是他带大的，所以大家都很敬重他，他说不走动亲戚，没有任何一个人敢去他家，他的儿女过年也不能过去，反正就是挺害怕的。

因为身边一个年纪大的亲戚就是感染新冠后就去世了，因此他们还是很害怕的，所以大家如果有长辈没有阳过，还是不要去走动。#至今没阳过返乡过年感染风险是否更大##未感染人群怎么做好个人防护##我国尚未监测到德尔塔克戎# 木辛瞳的微博视频",131,27,23
4859952394668906,苏州公安,1806686502,m,2023-01-20 11:46:47,【春节回家阳过能摘口罩吗？】近期，越来越多的市民踏上回家的旅途。江苏省疾控中心专家表示，冬春季是呼吸道疾病的高发季节，对于已经感染过新冠的人群，要继续佩戴口罩以免感染其他呼吸道传染病。此外，在感染了新冠病毒之后，经过一段时间体内抗体保护作用会有所下降，遇到免疫逃逸能力强的毒株，不排除少数康复者特别是免疫力低下人群可能会再次感染，因此要继续佩戴口罩能起到防护作用。建议大家在春节返乡出发前，及时评估自身身体情况，没有感染的、或正在感染还没有康复的人群以及老人、慢性病患者、孕产妇等重点人群尽量不安排远行。提醒：出行前要做好防护物资和防疫药品的准备，并在出行途中规范佩戴好口罩。#未感染人群怎么做好个人防护# 荔枝新闻的微博视频,16,22,23
