wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4871134192078117,西湖教育官微,6876356746,f,2023-02-20 08:19:15,【关于网传西湖区某小学出现多例阳性学生停课的通报】,14885,963,359,杭州,中国,浙江
4870981095523714,浙江日报,1708763410,m,2023-02-19 22:10:54,【#杭州两所中小学出现新冠阳性学生#】2月19日晚上，杭州多个家长群中流传着一张西湖区某公办小学二（3）班的家长通知书。该通知称，根据上级文件决定，2月20日—23日（周一至周四）停课四天，无身体不适症状并且抗原或核酸检测为阴性的学生于2月24日回校上课。而另一条消息也在各个家长群不断扩散：拱墅区一所公办初中已有多个班级出现多人新冠感染，而且感染的大多是此前没阳过的学生。记者随即向两所中小学的相关负责人或就读家长求证，这两条消息都属实。据记者了解，在开学前，相关职能部门其实也已经做好了相应预案。网页链接,40090,3003,2083,杭州,中国,浙江
4871168232261195,中国网直播,1884488621,m,2023-02-20 10:34:31,【三所学校有学生发热，新一波流行开始？杭州疫情防控指挥部回应！】市疫情防控指挥部相关负责人介绍，杭州个别学校班级出现数名学生感染新冠病毒（均为首次感染），属于正常现象，并不代表新一波流行的开始。（杭+新闻）#杭州两所中小学出现新冠阳性学生##都视频# 北京日报都视频的微博视频,60440,4704,1443,北京,中国,北京
4871129125093785,禾几日月,3055664430,f,2023-02-20 07:59:07,#杭州两所中小学出现新冠阳性学生# 客观规律不以人的意志为转移，做好日常防护，备好基本药物，及时补打疫苗。 其它的也没什么可说的了。,2776,194,58,北京,中国,北京
4871139723838835,中国新闻网,1784473157,m,2023-02-20 08:41:14,【#官方通报杭州某小学出现阳性学生#】2月20日，浙江省杭州市西湖区教育局发布关于网传西湖区某小学出现多例阳性学生停课的通报：经调查，2月19日(周日)学校陆续接到二（3）班学生周一请假的申请，截止到傍晚18时该班共计10位学生出现发热症状，在家抗原检测显示阳性，初步考虑为新冠感染。学校根据乙类乙管处置预案，向疾控部门进行了报告并发布了班级停课4天的通知。接报后，区防控办立即组织区教育局、区疾控中心联合开展调查处置。通过流调，抗原检测阳性的学生均无新冠病毒既往感染史，为首次感染，目前症状平稳，精神状态良好。#杭州两所中小学出现新冠阳性学生#（西湖教育官微）,7307,948,481,北京,中国,北京
4871119146583724,新浪新闻,2028810631,m,2023-02-20 07:19:28,#家长称阳性学生多为首次感染#【#杭州校方回应出现阳性学生#：家长不必恐慌】2月19日，据报道，#杭州两所中小学出现新冠阳性学生#，校方回应称防疫工作有序展开，家长不必恐慌。“我们发现班里几个出现新冠病毒感染症状并确诊阳性的同学都是此前没有阳过的。” 孩子就读于该所拱墅区公办初中初二的家长说，从班级群的反应来看，可能已经经历过疫情感染高峰，家长们都挺淡定的。记者采访>>（每日经济新闻） 突发！杭州两所学校出现多个新冠阳性学生，部分班级已停课！校方回应,14005,1105,189,北京,中国,北京
4871133058304744,三个老爸实验室,7126731879,m,2023-02-20 08:14:45,#杭州两所中小学出现新冠阳性学生# 这热搜下面还有强调阳的都是之前没阳过的，仿佛这样就都松了一口气。按照20%没阳过的话，一个班40个人，最多8个没阳过。按照10%没阳过的话，一个班40个人，最多4个没阳过，但是这是一个班阳了10个。 所以得出结论，杭州这轮病毒不行，只感染了70%。,1889,147,54,南京,中国,江苏
4871138968338714,北京日报都视频,2145917613,m,2023-02-20 08:38:13,【#杭州两所中小学出现新冠阳性学生#，部分班级已停课 校方回应！家长表示……】19日晚上，杭州多个家长群中流传着一张某小学班级的家长通知书。该通知称，截至2月19日18：00，某班出现10名阳性同学，2月20日-23日停课四天。而另一条消息也在各个家长群不断扩散：拱墅区一所公办初中已有多个班级出现多人新冠感染，而且感染的大多是此前没阳过的学生。记者随即向两所中小学的相关负责人或就读家长求证，这两条消息都属实。#都视频# （浙江日报） 北京日报都视频的微博视频,782,122,38,北京,中国,北京
4871243956752449,八大商人,2514846743,m,2023-02-20 15:35:25,这些北京的学校发热情况，如果确有其事、确属新冠疫情，官方应该尽快通报和正视。 应该像#杭州两所中小学出现新冠阳性学生# 那样，该排查则排查，#新冠病毒感染调整为乙类乙管# 不是不管…[最右],24,6,33,成都,中国,四川
4871167787401722,老李谈兵,6513040747,m,2023-02-20 10:32:44,"昨天上街逛，发现六成人都不戴口罩了。

我不由得纳闷，这些人身上血是有多厚，可以对重复感染毫不畏惧。

昨天杭州某学校发现几名阳性学生，充分说明了，我们身上阳过一次产生的免疫力，正在逐渐消失。

一般来说，阳过一次后大部分人会有三个月的免疫期。我扳指头算了算，也差不多了。

更何况XBB1.5具有极强的免疫逃逸能力。

戴上口罩吧，虽然现在放开了，但并不是2019年。

#杭州两所中小学出现新冠阳性学生##杭州校方回应出现阳性学生##超能新星汇#",1025,74,19,天水,中国,甘肃
