wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4859008613876193,西部决策,7467277921,m,2023-01-17 21:16:31,【#深圳一网友称在山姆买到蓝环章鱼# ，店方：概率很低，会联系顾客核实】#山姆回应深圳网友称买到蓝环章鱼# 日前，一网友在火锅店菜品中发现蓝环章鱼，引网友关注。1月17日，一位深圳的网友发帖称，家人几日前曾在山姆福田店买了一盒冷冻小章鱼，打开发现里面有一只蓝环章鱼。山姆福田店工作人员表示，店内的章鱼均为国产人工养殖，出现蓝环章鱼的概率非常低，会联系当事人核实情况。@西部决策 西部决策的微博视频,72642,1686,1057
4858980850994430,西部决策,7467277921,m,2023-01-17 19:26:13,【#博物杂志要出餐桌保命指南# ：收录一些易被误食的有毒动植物】#知识改变命运之救命版#1月16日，一网友在火锅店菜品里发现蓝环章鱼，引网友广泛关注。17日，@博物杂志 发文称，应大家要求，准备新开一个餐桌保命指南#话题，专门用来收录一些日常生活中可能会遇到的容易被误食的有毒动植物，以及本身就具有毒性的食材等，不定期更新，方便大家在餐桌上“保命”，以备不时之需。@西部决策 西部决策的微博视频,6031,276,570
4859167728992682,微博禁毒第一人马霄,1270750184,m,2023-01-18 07:48:47,#早安心语# 蓝环章鱼是剧毒章鱼引发了大家热议！大家都得时刻警惕生活中危害于身体的物质。早安。#深圳一网友称在山姆买到蓝环章鱼# 微博禁毒第一人马霄的微博视频,78,57,1
4859152382297041,张慧林,1149956613,m,2023-01-18 06:47:49,#深圳一网友称在山姆买到蓝环章鱼#如果确有其事，这真是一件“人命关天”的大事！好在提前发现，如果误食了剧毒蓝环章鱼，那人基本上就完了…“食品安全，重于泰山”，不是闹得玩的！希望相关部门严查此事，防止类似事件再次发生。#生活点滴#,1069,33,26
4859031648215118,小琳子爱喝果粒橙,3015435205,f,2023-01-17 22:48:04,#深圳一网友称在山姆买到蓝环章鱼# 说实话我第一次听到它的名字还是刷痘印看王小怪的视频知道的，当时就在想为啥都这么怕它呢这小东西不是挺好看的嘛，后来了解了才知道，这玩意毒性是真大呀所以说刷痘印有时候是真涨知识呀 小琳子爱喝果粒橙的微博视频,663,49,42
4859040024497147,如皋老猫,3170766712,m,2023-01-17 23:21:21,#深圳一网友称在山姆买到蓝环章鱼#像山姆这种反华企业，居然还能在中国混得有滋有味，真是日了了！甚至还有一些政府部门将山姆作为合作单位，令人无语。,832,30,36
4859041652150955,一枚搞机的原子弹,1974514450,m,2023-01-17 23:27:49,#深圳一网友称在山姆买到蓝环章鱼# 店方回应：出现的概率很低。可问题是，这么剧毒的东西，一旦被误食，基本人就没了。拜托这些商家，能不能多注意一下食品的安全呢？出现这种事真的很可怕呀！,324,65,61
4859168635487594,新浪新闻,2028810631,m,2023-01-18 07:52:24,"#还有哪些食物看似常见但不能吃#【惊险！剧毒的蓝环章鱼，混进火锅涮菜里】#热点经纬线#1月16日，一网友在火锅店，差点吃到蓝环章鱼。有科普博主表示，蓝环章鱼毒性非常强，而且受热不分解，此次混进市售章鱼里属“活久见”了。
央视网提醒：长黑斑的红薯、腐烂的生姜、未成熟的青西红柿……在生活中，还有很多看似常见的食物也不能吃！详细↓↓#深圳一网友称在山姆买到蓝环章鱼# 惊险！剧毒的蓝环章鱼，混进火锅涮菜里",106,16,41
4859152276914433,人民日报海外版-海外网,3057540037,m,2023-01-18 06:47:24,【这些食物不能吃 有毒！】①内部发红甘蔗，严重可致呼吸衰竭 ②织纹螺可引发头晕、呕吐 ③白毒伞像食用蘑菇，毒性极强 ④腐烂生姜会诱发食道癌 ⑤黑斑红薯毒性大 ⑥发芽土豆极易中毒 ⑦非洲大蜗牛会传播结核病 ⑧未成熟青西红柿有毒 ⑨鲜木耳可能头痛、头昏、发烧。转！警惕！#深圳一网友称在山姆买到蓝环章鱼#（央视新闻）,140,9,125
4859167045846857,固原播报,5476404136,m,2023-01-18 07:46:05,#深圳一网友称在山姆买到蓝环章鱼#第一次听说这种情况，赶快问了一下度娘。居然是剧毒物种，这还了得，出现的概率虽然很低，可是假如误食，死亡的概率几乎是100%。突然想起什么时候看到过一则误食野味导致中毒的事情，临近年关，一定要注意饮食方面的安全。,41,19,0
