wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4894509353406358,搜狐娱乐,1843633441,m,2023-04-25 20:23:48,#谢娜再回应助理打手机事件# 今日谢娜现身机场，再次回应前段时间助理引发的风波。她表示正常距离拍摄是可以的，但如果拍摄者奔跑影响到其他旅客，那他们一定会去制止的，“不是在外面不让拍”。 搜狐娱乐的微博视频,35835,1816,183,北京,中国,北京
4894693270487265,追剧综的李二狗,2151481347,m,2023-04-26 08:34:36,"#谢娜再回应助理打手机事件#
我去，第一次见这么回应的。
话里话外都在为助理开脱，太下头了。
当时助理凶神恶煞的拍打别人，但凡拍摄者是个有脾气的，立刻一脚就踹回去了。肢体冲突一下子就起来了。
再说了，明明当时拍摄的离谢娜他们很远，连站在他们正前方的人都没回头看谢娜一行人。没把他们当回事！
当时拍摄者到底给现场造成了什么影响呢？
到现在也没认识到助理的错误，高贵什么啊！",13196,571,52,北京,中国,北京
4894707332682774,新浪娱乐,1642591402,f,2023-04-26 09:30:30,#谢娜再回应助理打手机事件##谢娜 不是说在外面不让拍# 25日，@谢娜 现身机场，再次回应前段时间助理打手机引发的争议，她表示正常距离拍摄是可以的，但如果拍摄者奔跑影响到其他旅客，那他们肯定会去制止的，“不是说在外面不让拍”。视频中，谢娜看到有拍摄者没看路差点摔倒，还上前扶了一把。,2396,273,7,北京,中国,北京
4894687493884982,拆台CT,6059492811,m,2023-04-26 08:11:40,"#谢娜再回应助理打手机事件#

这个事情没必要再解释了。

谢娜说，正常距离拍摄是可以的，影响到其他旅客一定会制止。

谢娜工作者此前回应称，系专业跟拍围挡拍摄，干扰到公共秩序，这才产生了摩擦。

但根据媒体披露的现场视频，现场压根就没几个人。

好好道个歉这事儿就完了其实，不要再给自己找借口了。",1362,89,8,北京,中国,北京
4894695631356322,八教父,2042384407,f,2023-04-26 08:43:59,#谢娜再回应助理打手机事件#第一次回应甩锅给代拍，第二次回应责怪粉丝盲目跟拍，总而言之一句话：错在粉丝不在助理！这个时候难道不是应该站在粉丝这边吗？凶神恶煞怒打手机的是助理啊，怎么搞的像助理是个受害者？？,764,79,1,松原,中国,吉林
4894690274709255,机海风云,2435407712,m,2023-04-26 08:22:43,#谢娜再回应助理打手机事件#回应个卵呢，理亏就理亏，安静装死让风波平息不好？非要强调助理没错拍摄者被打活该就非常可笑了，你又不是素人，就是露脸赚钱的戏子，装什么生人勿扰粉丝勿近？曝光的视频看，拍摄者也是至少离了几人远的距离，乍滴，高铁空间都是你家私人基地？而且你们一行赶高铁没受任何影响，原本快速走过啥都不会发生，偏偏那个小矮子助理爱加戏，跑过来就差原地起跳打人手机，跟主动袭击无异，你有啥好洗？,2098,154,13,南京,中国,江苏
4894686525522029,陈霖Sammy,5686465105,m,2023-04-26 08:07:48,#谢娜再回应助理打手机事件#这回应不给票，看了视频，那里很宽敞，其他旅客大多都是坐在后面的椅子上居多，他们走路经过那会儿，周围没多少旅客。。。感觉镜头也不是奔跑时的运动镜头，就是跟着谢娜他们走路时边走边拍的样子。。,88,7,0,深圳,中国,广东
4894714152618196,饭圈小表妹,2756869861,f,2023-04-26 09:57:36,#谢娜再回应助理打手机事件#张杰谢娜之前一起走机场的时候旁边也有不少粉丝在拍，两人也是慢慢走着大家互不影响，这样子就挺好的嘛！ 饭圈小表妹的微博视频,305,56,259,太原,中国,山西
4894738992074890,浅唱之依恋白白,2438011892,m,2023-04-26 11:36:18,#谢娜再回应助理打手机事件#来势汹汹 霸气 就从过来打你手机了。,0,0,0,宁波,中国,浙江
4894738991812723,凡言佳樂,5236241974,f,2023-04-26 11:36:18,"#谢娜再回应助理打手机事件#
没人责怪你们制止 也没不让你制止
责怪的是你助理那种不专业且下头的制止行为
公众场合为了维护整体秩序制止拍照的多了去了
有哪一个是像这位助理这样制止的
助理的行为可不就是上赶着让人抓住机会骂你
你好像到现在纠结的是《制止》这个事情
但实际上影响秩序了你该制止就制止 没人不让
而我们生气的是助理的《制止行为》这个事
请问是没有更好的方法去阻止这件事情吗",0,0,0,庆阳,中国,甘肃
