wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4880352184637031,梨视频,6004281123,m,2023-03-17 18:48:16,【#超市6500元招聘引学生排队投简历#：招聘会口号“湖北省薪水最高的超市”，排队同学理想薪酬四五千】在3月16日湖北大学招聘会现场有一家超市招聘宣传是“湖北省薪水最高的超市”，该企业海报上给出管培生的无责底薪是6500元起。招聘负责人表示，目前已经收到了五十多份简历，主要都是一些工商管理、设计等专业的学生，公司针对管培生尽量会提供最高的待遇水平。一位刚咨询完该企业的求职学生说，看到这家企业展位前人很多就过来咨询了，但是感觉给出的高薪有点虚，担心自己拿不到这么多，自己理想中的薪资在四五千左右。027见闻的微博视频,18186,1103,335,上海,中国,上海
4880546653538916,拆家大师娇姐,2171301395,f,2023-03-18 07:41:01,"#超市6500元招聘引学生排队投简历##月薪三千的生活是怎样的#
这两个话题看的人心里难受😣，活着真难。

如果是在北京的话，一个月几千块钱也就刚够生存，谈不上任何生活。
如果是经济环境差的地方，比如我老家东北县城，大多数人一个月也就挣几千块钱，好在物价相对低，还能有点正常生活，但也不会太好，毕竟很多生活用品全国价格差不多。

最近到处看到吃播主播去东北早市，感叹东北早市吃的便宜，这只是硬币的一面，硬币的另一面是当地工资低。
一线城市收入的人过去消费当然觉得便宜，当地人未必有那么大感触。
光看消费，不看收入，不科学。",255,34,12,北京,中国,北京
4880573992014620,新闻晨报,1314608344,m,2023-03-18 09:29:39,"【超市6500元招聘大学生，你会去吗？】在2023考研中，居家备考、异地借考是常态，甚至有人“发着烧”走进考场，给潜心苦读的自己一个交代。有人说，考研很可能是一生中最后一段心无旁骛、全力以赴的经历。无论成绩如何，扛住来自四面八方的压力，只要走进考场，便可以说已经勇敢地战胜了自己。

考研上岸并不是人生的唯一答案。一份研究生学历确实可以对求职工作和认知水平起到加持作用，但学历并不是人生的“速通卡”。考研也不是获得未来敲门砖的唯一选择，一份有含金量的实习经历、一段社会实践活动，同样可以为求职创业助一臂之力。

相比于考研，上生活的岸才是目的。每个人的“岸”都各不相同，要想找到生活的岸，关键是要认识自己，将自身的优势特点和社会发展相匹配。

3月16日湖北大学招聘会现场有一家超市招聘宣传是“湖北省薪水最高的超市”，该企业海报上给出管培生的无责底薪是6500元起。招聘负责人表示，目前已经收到了五十多份简历，主要都是一些工商管理、设计等专业的学生，公司针对管培生尽量会提供最高的待遇水平。#超市6500元招聘引学生排队投简历#，你会去吗？ 网页链接",5162,20,3,上海,中国,上海
4880560013705229,上海成雨,1737772131,m,2023-03-18 08:34:05,#超市6500元招聘引学生排队投简历# 入门即高薪是好事，但有志青年要为自己做一个生涯规划，其第一步是工作三年达到当地最高工资。人生就是奋斗，我退休了还在努力，图安逸就不安逸。,37,1,0,上海,中国,上海
4880604251033068,汤圆经济学,1979899604,f,2023-03-18 11:29:53,#超市6500元招聘引学生排队投简历#有个朋友家孩子，伦敦大学建筑学研究生毕业，在英国没有合适的工作，刚在国内找到一家公司，4900元一个月。,277,46,3,南京,中国,江苏
4880560210053970,莲莲做什么都是对的,5564224391,f,2023-03-18 08:34:53,#超市6500元招聘引学生排队投简历#其实就是个工资问题，要是给我2万一个月做清洁工，我跑的太快了职责分什么贵贱，只要赚钱就行,98,1,2,上海,中国,上海
4880556632573812,石昆牧,1286517275,m,2023-03-18 08:20:40,#超市6500元招聘引学生排队投简历# 不管任何專長 能放低姿態從服務業開始 也了解人間煙火 這是好事 很多人一輩子都不了解柴米油鹽 也不知道該如何與人應對進退 更何況待遇似乎還不錯 石昆牧的微博视频,19,1,0,高雄市,中国,台湾
4880563578077624,植物人史军,1410812623,m,2023-03-18 08:48:16,"#超市6500元招聘引学生排队投简历#
话说，我也给中学投过简历，人家都没给我面试机会
很多时候，需要找到的是一个契合点，而且在不同的时间点，大家的基本诉求都是不一样的。所以，在别人看来不合理的选择，才是自己真正的好选择。
骑驴找马是一个比较靠谱的做法。
况且对一个刚入职的新人开说，这个是个还不错的学习机会。",96,23,4,广州,中国,广东
4880552190544134,学霸课长,2789987841,m,2023-03-18 08:03:01,"#大学时期的实习很重要吗##超市6500元招聘引学生排队投简历#
就业问题一直是摆在高校毕业生面前的头等大事，我们应该用理性的态度看待。

对于大学生来说，应该认清当下的就业环境。事实上，就业难并不全部是因为机会少，而是因为机会和自身实力不匹配，也就是企业岗位和求职者素质模型的匹配度。
或者是我们在撰写求职简历的时候，并没有做到针对岗位本身去进行展示个人的优势，这样就让用人单位在看简历的时候找不到契合点，而丢失了面试机会，也有的同学在投简历的时候，采用的是广撒网的形式，有一种“反正我投了那么多，就等着看谁上钩”的心理，这样的方式更不利于我们的简历能被推荐。

现在大多数的招聘平台都是基于个人画像和大数据推送给用人单位，如果我们采取广撒网的形式就得不到推荐的机会，那么获得面试的机会就会减少。

我们在做出职场选择时，我们需要冷静地思考，不要被短期的利益所迷惑，选择自己热爱的事业，是最重要的一步。因为工作是我们迈向人生的起点，并不是我们读书的终点。",135,52,40,北京,中国,北京
4880548970104331,蒋亦凡,2834968711,m,2023-03-18 07:50:13,#超市6500元招聘引学生排队投简历# 大学刚毕业找工资，薪酬固然重要，但第一份工作能学到什么，能积累什么经验也很重要。 刚毕业找了一份薪酬高了一些，但发展空间不大的工作，长远来看未必是最好的选择。 上海,74,8,5,上海,中国,上海
