wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count,status_city,status_country,status_province
4860100512582538,LiveMusic现场,2099868183,m,2023-01-20 21:35:21,五月天阿信刚刚在评论区回复内地演唱会不止一场！你希望他们的演唱会能来哪个城市？#阿信说内地演唱会不止一场#,9249,1348,975,郴州,中国,湖南
4860106007119763,乐迷迷迷迷,2542432787,m,2023-01-20 21:57:11,"#阿信说内地演唱会不止一场#十万人鸟巢大合唱《倔强》live

“我踏到鸟巢了，五月天踏到鸟巢了，你们踏到鸟巢了。所有有梦想、有倔强、有坚持的人，你们都踏到鸟巢了！”阿信

五月天第一个唱进鸟巢的乐队，从无名高地到鸟巢，一路铺满汗水和泪水，有谁和我一样在等待他们继续唱回鸟巢！ 乐迷迷迷迷的微博视频",937,148,1069,郴州,中国,湖南
4860278045410651,新浪娱乐,1642591402,f,2023-01-21 09:20:48,#阿乐留声机# “有没有那么一个明天，重头活一遍，让我再次感受曾挥霍的昨天，无论生存或生活，我都不浪费，不让故事这么的后悔，有谁能听见，我不要告别，我坐在窗前，看着指尖已经如烟。”——《如烟》五月天 #阿信说内地演唱会不止一场# 新浪娱乐的微博视频,123,9,9,重庆,中国,重庆
4860264368046456,目睹了一切的R9,2579590884,m,2023-01-21 08:26:27,阿信五月天 留些念想～大家除夕快乐[团圆兔] #五月天陪你守岁# . #阿信说内地演唱会不止一场#,136,23,7,湛江,中国,广东
4860258776778015,饭圈女孩,3051814750,f,2023-01-21 08:04:14,#阿信说内地演唱会不止一场#网友微博评论五月天阿信 内地随便哪里，总该有一场吧 阿信回复网友评论今年内地演唱会恐怕不只一场，大家希望在哪座城市能看到五月天 ？ 饭圈女孩的微博视频,407,255,259,烟台,中国,山东
4860104572936950,五月天资讯台,2119570093,m,2023-01-20 21:51:29,【Just Talk It】#阿信说内地演唱会不止一场# 你期待哪個城市？[舉手],557,217,76,台中市,中国,台湾
4860064807257712,我们都爱五月天,5340916262,m,2023-01-20 19:13:28,#五月天演唱会# #阿信说内地演唱会不止一场# 五月天内地演唱会恐怕不止一场！,503,115,125,无锡,中国,江苏
4860170822484660,三石一声,1642360757,m,2023-01-21 02:14:44,#阿信说内地演唱会不止一场# 那就多开几场呗 具体到五月之后就官宣了各位 包括但不限于五月天这一家好消息 不过多是男歌手阵营的 女歌手稍微不那么多,44,25,3,北京,中国,北京
4860269433454849,有LIVE,2511542070,f,2023-01-21 08:46:34,五月天春节后将赴马来西亚开唱，之后诺亚方舟高雄复刻，四月进入香港，后面差不多就是内地巡演了！五月天已经有多久没去过你的城市了？💙 #阿信说内地演唱会不止一场#,60,22,9,乐山,中国,四川
4860267726899240,告白巷小王子,1500809563,m,2023-01-21 08:39:48,#阿信说内地演唱会不止一场# 期待！！先把香港宣了，内地鸟巢把诺亚方舟复刻了,10,5,0,天津,中国,天津
4860301197971288,本公主想不出网名,5985030961,f,2023-01-21 10:52:48,"#阿信说内地演唱会不止一场#
是我睡醒睁开眼睛就能看见的消息吗",0,2,0,重庆,中国,重庆
4860292426897019,遨游十八星系,6426834432,f,2023-01-21 10:17:57,#阿信说内地演唱会不止一场# 多开几场 好想听倔强啊,24,10,0,,马来西亚,
4860300358585600,下次一起喝冰可乐吧,5135760690,f,2023-01-21 10:49:28,"#阿信说内地演唱会不止一场#
不管 风里雨里 杭州等你！！！",0,0,0,杭州,中国,浙江
4860288018420879,奇了个怪了zd,1782380974,f,2023-01-21 10:00:26,"#阿信说内地演唱会不止一场#
你不要骗我我真信的我同内港
请务必搞快点 每年一次的相见
现在是已经不知道过去多少年的没见了",45,27,21,嘉兴,中国,浙江
4860300074156138,张大壮壮壮,1850002845,f,2023-01-21 10:48:19,#阿信说内地演唱会不止一场#等你！！！！,0,0,0,济南,中国,山东
4860299855531822,Mm_Adam,7477825651,f,2023-01-21 10:47:28,#阿信说内地演唱会不止一场#耶耶耶！快来快来快来,0,0,0,揭阳,中国,广东
4860299812801655,灶头开发发,6201871087,f,2023-01-21 10:47:18,#阿信说内地演唱会不止一场# 好想听五月天的演唱会！上一次是18年的北京鸟巢。,0,0,0,呼和浩特,中国,内蒙古
4860299621171479,ywoagbsksagak,2739240687,m,2023-01-21 10:46:31,"#阿信说内地演唱会不止一场#
啊啊啊啊啊人生第一次现场去看演唱会难道会是五月天的嘛！",0,0,0,,中国,山西
4860299569530290,黄汀汀世最可,5688376363,f,2023-01-21 10:46:20,#阿信说内地演唱会不止一场#许愿北京场北京场北京场,0,0,0,北京,中国,北京
