wid,user_name,user_id,gender,publish_time,text,like_count,comment_count,forward_count
4858853781408877,环球网,1686546714,f,2023-01-17 11:01:17,"#韩总统夫人穿军装被批抢总统风头#【韩在野党批金建希穿军装“抢总统风头”，韩媒：文在寅夫人也穿过】据韩国《国民日报》17日报道，韩国总统尹锡悦偕夫人金建希于本月14日至17日对阿联酋进行为期4天的国事访问。其间，夫妇二人曾于15日访问当地韩国派驻部队慰问官兵，金建希同尹锡悦一样身着军装参加活动。韩国在野党就此批评称，“从未见过第一夫人穿着军装去的”，“会被认为是抢了总统的风头”。

据报道，本月15日，尹锡悦夫妇着韩国军装前往韩国派驻在阿联酋的部队，慰问官兵。韩媒注意到，金建希所穿的军服上还带有印着自己姓名的胸章。

报道称，活动当天的现场照片被曝光后，韩国在野党方面对此发出了批评的声音。共同民主党议员、前国家情报院院长朴智元16日在参加一档广播节目时曾就此事表示，“金建希作为韩国第一夫人应该好好参加相关活动，但我从未见过第一夫人穿着军装去的”，“这样一来，一不小心就会被人批评她充当了总统的角色”。

对此，节目主持人则向其问道：“军装看起来虽然很显眼，但金建希是不是想以这种方式激励海外驻扎部队呢？”朴智元答道，“国民看到也会觉得有点过，甚至会被认为是抢了总统的风头”，“为了避免这样的误会，（金建希）应该好好对自身加强管理”。

据报道，此外，共同民主党议员金南局（音译）16日也在其脸书账号上发布当天活动的相关照片，同时写道，“从照片来看，竟不知谁才是总统”。

《国民日报》称，在野党方面对于此事的指责与事实不符。此前，韩国历届第一夫人也曾为激励士兵、鼓舞士气而穿军装到访部队。该媒体列举多张前任总统文在寅夫人金正淑的相关照片，表示其也曾穿着军装到访军队。报道称，金正淑于2018年3月随文在寅到访阿联酋同一韩国部队时，也曾穿着与本次金建希所穿的同款军装参加活动。而此后，在2021年12月23日，金正淑同文在寅一起到访韩国西部海域白翎岛时，也曾穿上印有自己名字的军装，以此激励韩国海军陆战队。环视频的微博视频",57216,2002,449
4859167444043598,新浪军事,1499104401,m,2023-01-18 07:47:40,【#韩国总统出访时爆不当言论# 韩外交部忙灭火】据@参考消息 援引美联社报道，1月15日，韩国总统尹锡悦在访问阿联酋期间视察了驻扎在那里的韩国特种部队。他对士兵们说：“我们兄弟国家（阿联酋）的安全就是我们的安全。阿联酋之敌，即对阿方构成最大威胁的国家是伊朗，而韩国之敌是朝鲜。我们和阿联酋的处境非常相似。”伊朗外交部一名发言人17日对此表示，德黑兰正在调查尹锡悦发表的“干涉性言论”。韩外交部同日就尹锡悦的言论表示，此言与韩伊关系无关，希望有关各方不要过多解读。#韩总统夫人穿军装被批抢总统风头# 参考消息的微博视频,188,42,8
4859048778012336,后沙月光本尊,2624755655,m,2023-01-17 23:56:08,#韩总统夫人穿军装被批抢总统风头# 韩国媒体在去年选举前爆料过，她双眼皮是假的，脸是假的，咪咪是假的，学历是假的，履历是假的，奖项是假的…… 根据棒子传统，感觉将来连她都会进去。,641,111,21
4859031439809586,观人修己TheBlessedMind,1890829512,f,2023-01-17 22:47:14,#韩总统夫人穿军装被批抢总统风头# 不但脸假，耳垂都是假的，完美背后是什么？ #观人修己theblessedmind#,1537,73,35
4859085507528545,褚明宇,1961640291,m,2023-01-18 02:22:05,"#韩总统夫人穿军装被批抢总统风头#

韩国总统也算是个有身份的人，说实话带着这么个塑料整容脸到处出场挺丢人的。

判断一个男人档次的最好判据是看他身边的女的。

一个男的，尤其是中年男的，出入再有排场再讲究再「成功人士」人设再牛逼哄哄，一但身边出镜的是一个整容网红脸，哈哈形象立即就彻底泄气儿穿帮了。

反过来也一样，女生最重要的「道具」最好的「饰品」是身边的男生，比什么名牌包重要太多了。

不管你是带了多贵的包多么牛逼的奢侈品出门，身边的男性一旦猥琐油腻，马上就会显得你很搂，还很可疑。

□",336,41,29
4859030507882023,小凡好摄,1659893422,m,2023-01-17 22:43:32,#韩总统夫人穿军装被批抢总统风头# 韩媒：陪同尹锡悦访问阿联酋的金建希与以前不同，表现出了积极的行动。 #黄媒不会说的真相# 小凡好摄的微博视频,203,29,8
4859053639474618,盖世英雄玉椒龙,5230132970,f,2023-01-18 00:15:27,大家怎么看这种人给韩国尹锡悦政府歧视中国人行为的洗白？这人在国内还是个著名文人。 #韩总统夫人穿军装被批抢总统风头#,396,58,14
4859044437688416,棉花絮飞,5296350094,m,2023-01-17 23:38:52,越南亲西方的俩下台，上来俩一个没有留学经历，一个是在前苏联留过学。这个信号很关键 #韩总统夫人穿军装被批抢总统风头#,261,26,18
4859031090889291,净壹1970,5128435051,m,2023-01-17 22:45:50,#韩总统夫人穿军装被批抢总统风头#宋忠平：俄罗斯参议员说美国准备与中国开战，这预测非常可信 净壹1970的微博视频,60,24,34
4859045917492515,唐哲同学,3163693955,m,2023-01-17 23:44:46,#韩总统夫人穿军装被批抢总统风头# 我先把话放这里，几年后验证。这几年少去韩国投资，韩国这几年不会好，尹锡悦的下场也不会太好，这是个毫无原则毫无底线的人，理由就凭下面这张图，这张图的信息量太大了。,157,32,8
